timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-04-23T15:37:26,dask,filter,1M,1000000,1,1.2979,1056.94,770503,ok,partition_size=128MB
2026-04-23T15:37:28,dask,filter,1M,1000000,2,1.554,1015.79,643511,ok,partition_size=128MB
2026-04-23T15:37:30,dask,filter,1M,1000000,3,1.6153,1067.79,619076,ok,partition_size=128MB
2026-04-23T15:37:32,dask,groupby,1M,1000000,1,0.9868,711.44,1013350,ok,partition_size=128MB
2026-04-23T15:37:33,dask,groupby,1M,1000000,2,0.8483,714.53,1178868,ok,partition_size=128MB
2026-04-23T15:37:34,dask,groupby,1M,1000000,3,0.8177,729.7,1222942,ok,partition_size=128MB
2026-04-23T15:38:36,dask,join,1M,1000000,1,28.84,4399.45,34674,ok,partition_size=128MB
2026-04-23T15:39:04,dask,join,1M,1000000,2,28.3821,4412.2,35233,ok,partition_size=128MB
2026-04-23T15:39:33,dask,join,1M,1000000,3,28.6731,4902.21,34876,ok,partition_size=128MB
2026-04-23T15:41:02,dask,pipeline,1M,1000000,1,44.7238,4004.68,22359,ok,partition_size=128MB
2026-04-23T15:41:47,dask,pipeline,1M,1000000,2,44.7423,4012.12,22350,ok,partition_size=128MB
2026-04-23T15:42:33,dask,pipeline,1M,1000000,3,45.5093,3901.35,21974,ok,partition_size=128MB
2026-04-23T15:42:42,dask,filter,10M,10000000,1,4.105,6065.43,2436045,ok,partition_size=128MB
2026-04-23T15:42:46,dask,filter,10M,10000000,2,4.2223,6411.06,2368397,ok,partition_size=128MB
2026-04-23T15:42:50,dask,filter,10M,10000000,3,4.0625,6372.42,2461543,ok,partition_size=128MB
2026-04-23T15:42:58,dask,groupby,10M,10000000,1,3.7358,4574.59,2676809,ok,partition_size=128MB
2026-04-23T15:43:01,dask,groupby,10M,10000000,2,3.7811,4376.19,2644725,ok,partition_size=128MB
2026-04-23T15:43:05,dask,groupby,10M,10000000,3,3.8151,4250.33,2621176,ok,partition_size=128MB
2026-04-23T15:49:22,dask,join,10M,10000000,1,217.622,11054.95,45951,ok,partition_size=128MB
2026-04-23T15:52:25,dask,join,10M,10000000,2,182.5167,10742.52,54790,ok,partition_size=128MB
2026-04-23T15:54:56,dask,join,10M,10000000,3,150.5879,11007.8,66406,ok,partition_size=128MB
2026-04-23T15:56:41,dask,pipeline,10M,10000000,1,52.0316,6271.81,192191,ok,partition_size=128MB
2026-04-23T15:57:33,dask,pipeline,10M,10000000,2,51.8408,6136.97,192898,ok,partition_size=128MB
2026-04-23T15:58:24,dask,pipeline,10M,10000000,3,51.4896,6231.7,194214,ok,partition_size=128MB
2026-04-23T18:08:23,dask,filter,50M,50000000,1,30.777,10842.12,1624591,ok,partition_size=128MB
2026-04-23T18:08:59,dask,filter,50M,50000000,2,36.0112,10122.76,1388456,ok,partition_size=128MB
2026-04-23T18:09:34,dask,filter,50M,50000000,3,33.9808,10235.11,1471419,ok,partition_size=128MB
2026-04-23T18:10:11,dask,groupby,50M,50000000,1,17.2465,5253.38,2899147,ok,partition_size=128MB
2026-04-23T18:10:28,dask,groupby,50M,50000000,2,16.6883,5389.61,2996117,ok,partition_size=128MB
2026-04-23T18:10:44,dask,groupby,50M,50000000,3,16.3382,5290.12,3060312,ok,partition_size=128MB
2026-04-23T18:34:38,dask,join,50M,50000000,1,712.9058,11696.28,70135,ok,partition_size=128MB
2026-04-23T18:46:32,dask,join,50M,50000000,2,713.2664,11259.49,70100,ok,partition_size=128MB
2026-04-23T18:58:20,dask,join,50M,50000000,3,707.5399,11311.61,70667,ok,partition_size=128MB
2026-04-23T19:00:56,dask,pipeline,50M,50000000,1,76.3154,9206.57,655176,ok,partition_size=128MB
2026-04-23T19:02:12,dask,pipeline,50M,50000000,2,75.426,9375.41,662902,ok,partition_size=128MB
2026-04-23T19:03:26,dask,pipeline,50M,50000000,3,73.7138,9602.46,678299,ok,partition_size=128MB
