timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-04-23T14:32:44,dask,filter,5GB,6777185,1,2.9825,4558.88,2272305,ok,partition_size=128MB
2026-04-23T14:32:47,dask,filter,5GB,6777185,2,2.7109,5052.86,2499987,ok,partition_size=128MB
2026-04-23T14:32:49,dask,filter,5GB,6777185,3,2.6894,4509.32,2519954,ok,partition_size=128MB
2026-04-23T14:32:53,dask,groupby,5GB,6777185,1,1.9068,2412.3,3554275,ok,partition_size=128MB
2026-04-23T14:32:55,dask,groupby,5GB,6777185,2,1.7839,2113.62,3799097,ok,partition_size=128MB
2026-04-23T14:32:57,dask,groupby,5GB,6777185,3,1.7746,2062.17,3818892,ok,partition_size=128MB
2026-04-23T14:35:15,dask,join,5GB,6777185,1,69.1918,11058.64,97948,ok,partition_size=128MB
2026-04-23T14:36:21,dask,join,5GB,6777185,2,66.5177,9897.48,101885,ok,partition_size=128MB
2026-04-23T14:37:29,dask,join,5GB,6777185,3,67.9249,10943.8,99775,ok,partition_size=128MB
2026-04-23T14:39:04,dask,pipeline,5GB,6777185,1,47.1539,5596.18,143725,ok,partition_size=128MB
2026-04-23T14:39:50,dask,pipeline,5GB,6777185,2,46.311,5619.2,146341,ok,partition_size=128MB
2026-04-23T14:40:37,dask,pipeline,5GB,6777185,3,46.5843,5623.66,145482,ok,partition_size=128MB
2026-04-23T14:40:48,dask,filter,10GB,13554371,1,5.3283,9662.89,2543849,ok,partition_size=128MB
2026-04-23T14:40:53,dask,filter,10GB,13554371,2,5.3628,10540.79,2527489,ok,partition_size=128MB
2026-04-23T14:40:59,dask,filter,10GB,13554371,3,5.6386,10097.77,2403860,ok,partition_size=128MB
2026-04-23T14:41:06,dask,groupby,10GB,13554371,1,3.2603,5098.98,4157450,ok,partition_size=128MB
2026-04-23T14:41:09,dask,groupby,10GB,13554371,2,3.169,4806.38,4277183,ok,partition_size=128MB
2026-04-23T14:41:12,dask,groupby,10GB,13554371,3,3.08,4902.26,4400764,ok,partition_size=128MB
2026-04-23T14:46:14,dask,join,10GB,13554371,1,149.4915,11423.93,90670,ok,partition_size=128MB
2026-04-23T14:48:48,dask,join,10GB,13554371,2,153.761,11181.61,88152,ok,partition_size=128MB
2026-04-23T14:51:26,dask,join,10GB,13554371,3,157.4902,10275.14,86065,ok,partition_size=128MB
2026-04-23T14:53:10,dask,pipeline,10GB,13554371,1,51.7087,6142.93,262130,ok,partition_size=128MB
2026-04-23T14:54:00,dask,pipeline,10GB,13554371,2,49.9551,6894.2,271331,ok,partition_size=128MB
2026-04-23T14:54:50,dask,pipeline,10GB,13554371,3,49.307,6793.45,274898,ok,partition_size=128MB
2026-04-23T14:55:31,dask,filter,20GB,27108743,1,19.317,10247.01,1403361,ok,partition_size=128MB
2026-04-23T14:55:50,dask,filter,20GB,27108743,2,18.929,10879.77,1432127,ok,partition_size=128MB
2026-04-23T14:56:06,dask,filter,20GB,27108743,3,15.1423,10922.54,1790260,ok,partition_size=128MB
2026-04-23T14:56:19,dask,groupby,20GB,27108743,1,6.5962,4510.64,4109741,ok,partition_size=128MB
2026-04-23T14:56:26,dask,groupby,20GB,27108743,2,7.0497,4788.1,3845350,ok,partition_size=128MB
2026-04-23T14:56:32,dask,groupby,20GB,27108743,3,6.2304,4718.09,4351071,ok,partition_size=128MB
2026-04-23T15:06:39,dask,join,20GB,27108743,1,334.7859,10138.75,80973,ok,partition_size=128MB
2026-04-23T15:12:19,dask,join,20GB,27108743,2,338.9801,11544.82,79971,ok,partition_size=128MB
2026-04-23T15:17:48,dask,join,20GB,27108743,3,329.227,10716.26,82341,ok,partition_size=128MB
2026-04-23T15:19:53,dask,pipeline,20GB,27108743,1,60.9129,7128.38,445041,ok,partition_size=128MB
2026-04-23T15:20:54,dask,pipeline,20GB,27108743,2,60.5167,7496.41,447955,ok,partition_size=128MB
2026-04-23T15:21:54,dask,pipeline,20GB,27108743,3,59.8367,8000.33,453045,ok,partition_size=128MB
