timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-04-21T10:45:52,pandas,filter,1M,1000000,1,1.8664,1275.59,535789,ok,
2026-04-21T10:45:54,pandas,filter,1M,1000000,2,1.8851,1313.32,530469,ok,
2026-04-21T10:45:56,pandas,filter,1M,1000000,3,2.086,1385.13,479375,ok,
2026-04-21T10:46:02,pandas,groupby,1M,1000000,1,3.1031,1384.84,322258,ok,
2026-04-21T10:46:05,pandas,groupby,1M,1000000,2,3.1396,1351.75,318516,ok,
2026-04-21T10:46:08,pandas,groupby,1M,1000000,3,2.9227,1347.94,342147,ok,
2026-04-21T10:46:43,pandas,join,1M,1000000,1,17.3052,4690.5,57786,ok,
2026-04-21T10:47:01,pandas,join,1M,1000000,2,17.1006,4742.82,58478,ok,
2026-04-21T10:47:17,pandas,join,1M,1000000,3,16.5297,5001.38,60497,ok,
2026-04-21T10:47:36,pandas,pipeline,1M,1000000,1,9.1955,3820.13,108749,ok,
2026-04-21T10:47:46,pandas,pipeline,1M,1000000,2,9.6372,3801.0,103765,ok,
2026-04-21T10:47:56,pandas,pipeline,1M,1000000,3,9.7925,3833.18,102119,ok,
2026-04-21T10:48:39,pandas,filter,10M,10000000,1,21.0108,7133.2,475945,ok,
2026-04-21T10:49:00,pandas,filter,10M,10000000,2,21.2568,7198.33,470439,ok,
2026-04-21T10:49:21,pandas,filter,10M,10000000,3,20.9096,7209.85,478249,ok,
2026-04-21T10:50:23,pandas,groupby,10M,10000000,1,31.1121,7128.41,321419,ok,
2026-04-21T10:50:55,pandas,groupby,10M,10000000,2,31.5589,7160.95,316868,ok,
2026-04-21T10:51:25,pandas,groupby,10M,10000000,3,30.4466,7146.03,328444,ok,
2026-04-21T10:53:01,pandas,join,10M,10000000,1,46.959,9840.62,212952,ok,
2026-04-21T10:53:46,pandas,join,10M,10000000,2,44.4032,9834.39,225209,ok,
2026-04-21T10:54:31,pandas,join,10M,10000000,3,44.8428,9862.93,223001,ok,
2026-04-21T10:55:48,pandas,pipeline,10M,10000000,1,38.4816,8552.71,259864,ok,
2026-04-21T10:56:27,pandas,pipeline,10M,10000000,2,39.0092,8658.22,256350,ok,
2026-04-21T10:57:06,pandas,pipeline,10M,10000000,3,38.4206,8536.09,260277,ok,
2026-04-21T11:47:11,pandas,filter,50M,50000000,1,767.1038,11657.46,65180,ok,
2026-04-21T12:00:16,pandas,filter,50M,50000000,2,784.7147,11797.77,63717,ok,
2026-04-21T12:13:42,pandas,filter,50M,50000000,3,805.5763,11591.66,62067,ok,
2026-04-21T12:29:51,pandas,groupby,50M,50000000,1,479.1693,11777.03,104347,ok,
2026-04-21T12:37:51,pandas,groupby,50M,50000000,2,479.0487,11982.19,104374,ok,
2026-04-21T12:45:54,pandas,groupby,50M,50000000,3,483.2692,11377.59,103462,ok,
2026-04-21T13:36:40,pandas,join,50M,50000000,1,1531.0255,11643.75,32658,ok,
2026-04-21T14:01:30,pandas,join,50M,50000000,2,1489.6706,11570.4,33564,ok,
2026-04-21T14:26:20,pandas,join,50M,50000000,3,1489.796,11622.81,33562,ok,
2026-04-21T14:55:13,pandas,pipeline,50M,50000000,1,875.8514,11744.08,57087,ok,
2026-04-21T15:09:18,pandas,pipeline,50M,50000000,2,844.1417,11676.96,59232,ok,
2026-04-21T15:24:20,pandas,pipeline,50M,50000000,3,901.5546,11997.61,55460,ok,
