timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-04-23T12:14:16,pandas,filter,5GB,6777185,1,16.0063,4913.43,423406,ok,
2026-04-23T12:14:31,pandas,filter,5GB,6777185,2,15.4689,4975.28,438116,ok,
2026-04-23T12:14:47,pandas,filter,5GB,6777185,3,15.2029,4996.92,445782,ok,
2026-04-23T12:15:26,pandas,groupby,5GB,6777185,1,19.5965,4854.18,345836,ok,
2026-04-23T12:15:46,pandas,groupby,5GB,6777185,2,20.3069,4806.16,333739,ok,
2026-04-23T12:16:06,pandas,groupby,5GB,6777185,3,19.8858,4865.29,340805,ok,
2026-04-23T12:17:22,pandas,join,5GB,6777185,1,35.6235,7547.7,190245,ok,
2026-04-23T12:17:59,pandas,join,5GB,6777185,2,36.6398,8036.76,184968,ok,
2026-04-23T12:18:32,pandas,join,5GB,6777185,3,33.9331,7708.34,199722,ok,
2026-04-23T12:19:26,pandas,pipeline,5GB,6777185,1,26.6319,6631.43,254476,ok,
2026-04-23T12:19:52,pandas,pipeline,5GB,6777185,2,26.3015,6685.5,257673,ok,
2026-04-23T12:20:18,pandas,pipeline,5GB,6777185,3,26.0419,6761.85,260242,ok,
2026-04-23T12:21:22,pandas,filter,10GB,13554371,1,31.6884,8994.52,427739,ok,
2026-04-23T12:21:53,pandas,filter,10GB,13554371,2,30.819,9102.85,439806,ok,
2026-04-23T12:22:27,pandas,filter,10GB,13554371,3,33.5977,8993.33,403432,ok,
2026-04-23T12:23:49,pandas,groupby,10GB,13554371,1,41.35,8793.9,327796,ok,
2026-04-23T12:24:31,pandas,groupby,10GB,13554371,2,41.3325,8730.8,327935,ok,
2026-04-23T12:25:12,pandas,groupby,10GB,13554371,3,41.243,8726.34,328646,ok,
2026-04-23T12:27:23,pandas,join,10GB,13554371,1,68.487,11330.02,197912,ok,
2026-04-23T12:28:37,pandas,join,10GB,13554371,2,73.6133,11053.18,184129,ok,
2026-04-23T12:29:43,pandas,join,10GB,13554371,3,65.9337,11407.54,205576,ok,
2026-04-23T12:31:26,pandas,pipeline,10GB,13554371,1,51.0986,10377.49,265259,ok,
2026-04-23T12:32:18,pandas,pipeline,10GB,13554371,2,52.4258,10640.12,258544,ok,
2026-04-23T12:33:10,pandas,pipeline,10GB,13554371,3,51.8568,10523.25,261381,ok,
2026-04-23T12:42:32,pandas,filter,20GB,27108743,1,286.8825,11284.04,94494,ok,
2026-04-23T12:46:56,pandas,filter,20GB,27108743,2,263.0025,11323.72,103074,ok,
2026-04-23T12:51:14,pandas,filter,20GB,27108743,3,258.2895,11183.02,104955,ok,
2026-04-23T12:58:01,pandas,groupby,20GB,27108743,1,207.5034,11285.21,130642,ok,
2026-04-23T13:01:44,pandas,groupby,20GB,27108743,2,223.0149,11555.0,121556,ok,
2026-04-23T13:05:16,pandas,groupby,20GB,27108743,3,211.5892,11518.85,128120,ok,
2026-04-23T13:27:30,pandas,join,20GB,27108743,1,662.8017,11553.58,40900,ok,
2026-04-23T13:38:37,pandas,join,20GB,27108743,2,667.5609,11325.37,40609,ok,
2026-04-23T13:49:32,pandas,join,20GB,27108743,3,654.4544,11514.79,41422,ok,
2026-04-23T14:00:03,pandas,pipeline,20GB,27108743,1,310.6606,11826.43,87262,ok,
2026-04-23T14:05:14,pandas,pipeline,20GB,27108743,2,311.1586,11166.71,87122,ok,
2026-04-23T14:10:21,pandas,pipeline,20GB,27108743,3,307.0491,11615.73,88288,ok,
