timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-04-22T18:16:02,pandas,filter,1M,1000000,1,2.6504,1412.93,377296,ok,
2026-04-22T18:16:05,pandas,filter,1M,1000000,2,3.6332,1505.89,275242,ok,
2026-04-22T18:16:11,pandas,filter,1M,1000000,3,5.2267,1550.07,191324,ok,
2026-04-22T18:16:25,pandas,groupby,1M,1000000,1,6.2421,1544.91,160202,ok,
2026-04-22T18:16:31,pandas,groupby,1M,1000000,2,5.9232,1571.05,168827,ok,
2026-04-22T18:16:34,pandas,groupby,1M,1000000,3,2.7029,1574.41,369971,ok,
2026-04-22T18:17:07,pandas,join,1M,1000000,1,16.0648,4789.4,62248,ok,
2026-04-22T18:17:23,pandas,join,1M,1000000,2,15.7952,4882.55,63311,ok,
2026-04-22T18:17:39,pandas,join,1M,1000000,3,15.9193,4948.69,62817,ok,
2026-04-22T18:17:57,pandas,pipeline,1M,1000000,1,9.2113,3494.86,108562,ok,
2026-04-22T18:18:06,pandas,pipeline,1M,1000000,2,8.6948,3483.06,115012,ok,
2026-04-22T18:18:15,pandas,pipeline,1M,1000000,3,8.8517,3524.2,112972,ok,
2026-04-22T18:19:02,pandas,filter,10M,10000000,1,23.3468,7094.51,428324,ok,
2026-04-22T18:19:25,pandas,filter,10M,10000000,2,22.7793,6880.27,438995,ok,
2026-04-22T18:19:48,pandas,filter,10M,10000000,3,23.2272,6896.49,430530,ok,
2026-04-22T18:20:47,pandas,groupby,10M,10000000,1,29.46,6730.09,339444,ok,
2026-04-22T18:21:16,pandas,groupby,10M,10000000,2,29.4357,6672.79,339723,ok,
2026-04-22T18:21:45,pandas,groupby,10M,10000000,3,29.2572,6719.78,341796,ok,
2026-04-22T18:23:19,pandas,join,10M,10000000,1,46.526,10185.98,214934,ok,
2026-04-22T18:24:05,pandas,join,10M,10000000,2,45.393,10291.35,220298,ok,
2026-04-22T18:24:51,pandas,join,10M,10000000,3,46.4614,10113.59,215233,ok,
2026-04-22T18:26:06,pandas,pipeline,10M,10000000,1,37.1314,8602.42,269314,ok,
2026-04-22T18:26:43,pandas,pipeline,10M,10000000,2,36.7811,8509.06,271879,ok,
2026-04-22T18:27:20,pandas,pipeline,10M,10000000,3,36.783,8439.72,271865,ok,
2026-04-22T18:54:19,pandas,filter,50M,50000000,1,837.7902,11648.36,59681,ok,
2026-04-22T19:08:16,pandas,filter,50M,50000000,2,837.1099,11538.96,59729,ok,
2026-04-22T19:22:38,pandas,filter,50M,50000000,3,861.0593,11713.95,58068,ok,
2026-04-22T19:40:23,pandas,groupby,50M,50000000,1,535.3527,11748.68,93396,ok,
2026-04-22T19:49:01,pandas,groupby,50M,50000000,2,517.9626,11568.24,96532,ok,
2026-04-22T19:57:55,pandas,groupby,50M,50000000,3,533.2593,11685.98,93763,ok,
2026-04-22T20:53:49,pandas,join,50M,50000000,1,1692.5569,11644.45,29541,ok,
2026-04-22T21:21:36,pandas,join,50M,50000000,2,1667.2153,11466.05,29990,ok,
2026-04-22T21:49:17,pandas,join,50M,50000000,3,1660.1843,11781.91,30117,ok,
2026-04-22T22:20:03,pandas,pipeline,50M,50000000,1,937.5236,11744.07,53332,ok,
2026-04-22T22:36:07,pandas,pipeline,50M,50000000,2,963.6762,11681.98,51885,ok,
2026-04-22T22:51:55,pandas,pipeline,50M,50000000,3,947.0658,11524.78,52795,ok,
