timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-04-21T11:02:05,polars_eager,filter,1M,1000000,1,0.3583,692.21,2790777,ok,
2026-04-21T11:02:05,polars_eager,filter,1M,1000000,2,0.3368,760.12,2968925,ok,
2026-04-21T11:02:06,polars_eager,filter,1M,1000000,3,0.3082,763.0,3244687,ok,
2026-04-21T11:02:06,polars_eager,groupby,1M,1000000,1,0.4497,839.65,2223742,ok,
2026-04-21T11:02:07,polars_eager,groupby,1M,1000000,2,0.4857,879.59,2058749,ok,
2026-04-21T11:02:07,polars_eager,groupby,1M,1000000,3,0.4622,883.65,2163632,ok,
2026-04-21T11:02:11,polars_eager,join,1M,1000000,1,1.6785,3616.72,595760,ok,
2026-04-21T11:02:13,polars_eager,join,1M,1000000,2,1.5992,3888.21,625296,ok,
2026-04-21T11:02:14,polars_eager,join,1M,1000000,3,1.695,3660.29,589971,ok,
2026-04-21T11:02:18,polars_eager,pipeline,1M,1000000,1,1.8806,3034.32,531742,ok,
2026-04-21T11:02:20,polars_eager,pipeline,1M,1000000,2,1.8695,3271.0,534913,ok,
2026-04-21T11:02:22,polars_eager,pipeline,1M,1000000,3,1.8692,3138.04,534987,ok,
2026-04-21T11:02:26,polars_eager,filter,10M,10000000,1,1.8653,4326.98,5361211,ok,
2026-04-21T11:02:28,polars_eager,filter,10M,10000000,2,1.9214,4364.89,5204640,ok,
2026-04-21T11:02:29,polars_eager,filter,10M,10000000,3,1.7487,4358.43,5718516,ok,
2026-04-21T11:02:36,polars_eager,groupby,10M,10000000,1,3.1501,5748.61,3174476,ok,
2026-04-21T11:02:39,polars_eager,groupby,10M,10000000,2,3.1677,6107.49,3156893,ok,
2026-04-21T11:02:42,polars_eager,groupby,10M,10000000,3,3.0579,6479.24,3270191,ok,
2026-04-21T11:02:50,polars_eager,join,10M,10000000,1,4.1613,6862.68,2403073,ok,
2026-04-21T11:02:55,polars_eager,join,10M,10000000,2,4.2337,6910.8,2362020,ok,
2026-04-21T11:02:59,polars_eager,join,10M,10000000,3,4.1789,6920.53,2392996,ok,
2026-04-21T11:03:09,polars_eager,pipeline,10M,10000000,1,5.1543,5792.14,1940142,ok,
2026-04-21T11:03:14,polars_eager,pipeline,10M,10000000,2,4.9112,5755.37,2036150,ok,
2026-04-21T11:03:19,polars_eager,pipeline,10M,10000000,3,5.0547,5775.96,1978350,ok,
2026-04-21T15:52:27,polars_eager,filter,50M,50000000,1,54.4862,8391.89,917664,ok,
2026-04-21T15:53:20,polars_eager,filter,50M,50000000,2,52.8589,8488.38,945915,ok,
2026-04-21T15:54:15,polars_eager,filter,50M,50000000,3,53.9841,9026.75,926199,ok,
2026-04-21T15:57:08,polars_eager,groupby,50M,50000000,1,85.8431,9845.44,582458,ok,
2026-04-21T15:58:37,polars_eager,groupby,50M,50000000,2,88.2739,9900.79,566419,ok,
2026-04-21T16:00:05,polars_eager,groupby,50M,50000000,3,88.1416,9756.45,567269,ok,
2026-04-21T16:02:02,polars_eager,join,50M,50000000,1,60.4868,10096.02,826627,ok,
2026-04-21T16:03:06,polars_eager,join,50M,50000000,2,62.7068,6830.74,797361,ok,
2026-04-21T16:04:10,polars_eager,join,50M,50000000,3,63.3677,7634.02,789046,ok,
2026-04-21T16:07:09,polars_eager,pipeline,50M,50000000,1,84.3357,11438.25,592869,ok,
2026-04-21T16:08:36,polars_eager,pipeline,50M,50000000,2,86.2535,11407.92,579687,ok,
2026-04-21T16:10:03,polars_eager,pipeline,50M,50000000,3,86.8545,11560.52,575676,ok,
