timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-04-22T23:15:55,polars_eager,filter,1M,1000000,1,0.2251,723.76,4443108,ok,
2026-04-22T23:15:55,polars_eager,filter,1M,1000000,2,0.2134,762.01,4685921,ok,
2026-04-22T23:15:55,polars_eager,filter,1M,1000000,3,0.2167,712.34,4615256,ok,
2026-04-22T23:15:56,polars_eager,groupby,1M,1000000,1,0.3376,741.57,2962406,ok,
2026-04-22T23:15:56,polars_eager,groupby,1M,1000000,2,0.5698,793.59,1754879,ok,
2026-04-22T23:15:57,polars_eager,groupby,1M,1000000,3,0.5337,802.11,1873575,ok,
2026-04-22T23:16:00,polars_eager,join,1M,1000000,1,1.7289,3606.43,578391,ok,
2026-04-22T23:16:02,polars_eager,join,1M,1000000,2,1.7587,3577.38,568604,ok,
2026-04-22T23:16:04,polars_eager,join,1M,1000000,3,1.7291,3617.78,578344,ok,
2026-04-22T23:16:08,polars_eager,pipeline,1M,1000000,1,1.8442,2923.1,542238,ok,
2026-04-22T23:16:10,polars_eager,pipeline,1M,1000000,2,1.9201,2953.1,520799,ok,
2026-04-22T23:16:12,polars_eager,pipeline,1M,1000000,3,1.9729,2985.08,506867,ok,
2026-04-22T23:16:16,polars_eager,filter,10M,10000000,1,1.9114,5035.09,5231782,ok,
2026-04-22T23:16:18,polars_eager,filter,10M,10000000,2,2.0915,5035.08,4781161,ok,
2026-04-22T23:16:20,polars_eager,filter,10M,10000000,3,1.9373,4996.32,5161833,ok,
2026-04-22T23:16:27,polars_eager,groupby,10M,10000000,1,3.3588,6176.36,2977273,ok,
2026-04-22T23:16:31,polars_eager,groupby,10M,10000000,2,3.2923,6251.51,3037429,ok,
2026-04-22T23:16:34,polars_eager,groupby,10M,10000000,3,3.2674,6293.33,3060520,ok,
2026-04-22T23:16:41,polars_eager,join,10M,10000000,1,3.3787,7411.38,2959739,ok,
2026-04-22T23:16:44,polars_eager,join,10M,10000000,2,3.3646,7485.54,2972165,ok,
2026-04-22T23:16:47,polars_eager,join,10M,10000000,3,3.2625,7501.65,3065166,ok,
2026-04-22T23:16:57,polars_eager,pipeline,10M,10000000,1,4.4424,6775.22,2251029,ok,
2026-04-22T23:17:01,polars_eager,pipeline,10M,10000000,2,4.6291,6418.61,2160265,ok,
2026-04-22T23:17:06,polars_eager,pipeline,10M,10000000,3,4.6831,6707.26,2135355,ok,
2026-04-22T23:19:34,polars_eager,filter,50M,50000000,1,80.2041,8674.02,623410,ok,
2026-04-22T23:20:54,polars_eager,filter,50M,50000000,2,78.6759,8533.97,635518,ok,
2026-04-22T23:22:16,polars_eager,filter,50M,50000000,3,81.7493,8778.27,611626,ok,
2026-04-22T23:25:33,polars_eager,groupby,50M,50000000,1,100.3208,10750.01,498401,ok,
2026-04-22T23:27:10,polars_eager,groupby,50M,50000000,2,97.1643,10510.96,514592,ok,
2026-04-22T23:28:50,polars_eager,groupby,50M,50000000,3,99.4215,10818.1,502909,ok,
2026-04-22T23:31:15,polars_eager,join,50M,50000000,1,74.8435,7274.1,668061,ok,
2026-04-22T23:32:27,polars_eager,join,50M,50000000,2,71.6846,7974.26,697500,ok,
2026-04-22T23:33:39,polars_eager,join,50M,50000000,3,71.3101,7905.83,701163,ok,
2026-04-22T23:37:18,polars_eager,pipeline,50M,50000000,1,108.3866,10424.32,461311,ok,
2026-04-22T23:39:09,polars_eager,pipeline,50M,50000000,2,110.1783,10533.61,453810,ok,
2026-04-22T23:41:04,polars_eager,pipeline,50M,50000000,3,114.4214,10419.21,436981,ok,
