timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-04-21T10:57:08,polars_lazy,filter,1M,1000000,1,0.3976,699.18,2515399,ok,
2026-04-21T10:57:09,polars_lazy,filter,1M,1000000,2,0.4272,726.85,2340922,ok,
2026-04-21T10:57:09,polars_lazy,filter,1M,1000000,3,0.4122,729.88,2426262,ok,
2026-04-21T10:57:11,polars_lazy,groupby,1M,1000000,1,0.8229,1427.48,1215265,ok,
2026-04-21T10:57:11,polars_lazy,groupby,1M,1000000,2,0.7401,1575.96,1351254,ok,
2026-04-21T10:57:12,polars_lazy,groupby,1M,1000000,3,0.7812,1762.55,1280033,ok,
2026-04-21T10:57:34,polars_lazy,join,1M,1000000,1,11.2621,4523.22,88793,ok,
2026-04-21T10:57:45,polars_lazy,join,1M,1000000,2,10.9889,4385.85,91001,ok,
2026-04-21T10:57:56,polars_lazy,join,1M,1000000,3,10.9488,4454.9,91334,ok,
2026-04-21T10:58:18,polars_lazy,pipeline,1M,1000000,1,10.4997,4169.37,95241,ok,
2026-04-21T10:58:28,polars_lazy,pipeline,1M,1000000,2,10.6633,4237.08,93779,ok,
2026-04-21T10:58:39,polars_lazy,pipeline,1M,1000000,3,10.8779,4142.64,91929,ok,
2026-04-21T10:58:47,polars_lazy,filter,10M,10000000,1,3.8301,3356.41,2610875,ok,
2026-04-21T10:58:51,polars_lazy,filter,10M,10000000,2,3.78,3320.68,2645475,ok,
2026-04-21T10:58:54,polars_lazy,filter,10M,10000000,3,3.7768,3387.14,2647728,ok,
2026-04-21T10:59:10,polars_lazy,groupby,10M,10000000,1,8.0084,9724.75,1248688,ok,
2026-04-21T10:59:18,polars_lazy,groupby,10M,10000000,2,8.1427,10628.5,1228089,ok,
2026-04-21T10:59:26,polars_lazy,groupby,10M,10000000,3,8.3228,11131.94,1201525,ok,
2026-04-21T11:00:06,polars_lazy,join,10M,10000000,1,19.9336,6530.86,501665,ok,
2026-04-21T11:00:25,polars_lazy,join,10M,10000000,2,19.3054,6628.91,517990,ok,
2026-04-21T11:00:42,polars_lazy,join,10M,10000000,3,17.2624,6567.3,579293,ok,
2026-04-21T11:01:20,polars_lazy,pipeline,10M,10000000,1,19.873,10648.95,503195,ok,
2026-04-21T11:01:38,polars_lazy,pipeline,10M,10000000,2,18.0865,10925.25,552900,ok,
2026-04-21T11:01:56,polars_lazy,pipeline,10M,10000000,3,18.1041,11276.71,552360,ok,
2026-04-21T15:25:36,polars_lazy,filter,50M,50000000,1,36.1301,12128.86,1383886,ok,
2026-04-21T15:26:11,polars_lazy,filter,50M,50000000,2,35.0137,11977.27,1428011,ok,
2026-04-21T15:26:46,polars_lazy,filter,50M,50000000,3,34.3867,12376.92,1454052,ok,
2026-04-21T15:31:26,polars_lazy,groupby,50M,50000000,1,137.9871,12116.63,362353,ok,
2026-04-21T15:33:53,polars_lazy,groupby,50M,50000000,2,147.2038,12225.48,339665,ok,
2026-04-21T15:36:17,polars_lazy,groupby,50M,50000000,3,143.9421,11937.7,347362,ok,
2026-04-21T15:40:15,polars_lazy,join,50M,50000000,1,119.0134,12075.59,420121,ok,
2026-04-21T15:42:15,polars_lazy,join,50M,50000000,2,120.0913,11506.19,416350,ok,
2026-04-21T15:44:20,polars_lazy,join,50M,50000000,3,124.5713,11615.96,401377,ok,
2026-04-21T15:47:33,polars_lazy,pipeline,50M,50000000,1,89.613,12005.41,557955,ok,
2026-04-21T15:49:01,polars_lazy,pipeline,50M,50000000,2,88.2888,12386.53,566324,ok,
2026-04-21T15:50:41,polars_lazy,pipeline,50M,50000000,3,99.3516,12227.35,503263,ok,
