timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-04-23T14:10:31,polars_lazy,filter,5GB,6777185,1,1.8167,2875.12,3730523,ok,
2026-04-23T14:10:33,polars_lazy,filter,5GB,6777185,2,1.8273,2916.27,3708932,ok,
2026-04-23T14:10:35,polars_lazy,filter,5GB,6777185,3,1.8643,2891.0,3635222,ok,
2026-04-23T14:10:42,polars_lazy,groupby,5GB,6777185,1,3.7007,4210.32,1831349,ok,
2026-04-23T14:10:46,polars_lazy,groupby,5GB,6777185,2,3.6083,4080.76,1878240,ok,
2026-04-23T14:10:49,polars_lazy,groupby,5GB,6777185,3,3.6458,4131.38,1858902,ok,
2026-04-23T14:11:18,polars_lazy,join,5GB,6777185,1,14.6149,6047.53,463717,ok,
2026-04-23T14:11:33,polars_lazy,join,5GB,6777185,2,15.0004,6026.51,451802,ok,
2026-04-23T14:11:50,polars_lazy,join,5GB,6777185,3,16.4781,6056.21,411285,ok,
2026-04-23T14:12:21,polars_lazy,pipeline,5GB,6777185,1,15.7812,6157.6,429446,ok,
2026-04-23T14:12:35,polars_lazy,pipeline,5GB,6777185,2,14.6204,6194.79,463544,ok,
2026-04-23T14:12:50,polars_lazy,pipeline,5GB,6777185,3,14.4953,6146.88,467543,ok,
2026-04-23T14:12:58,polars_lazy,filter,10GB,13554371,1,3.8785,5316.83,3494736,ok,
2026-04-23T14:13:02,polars_lazy,filter,10GB,13554371,2,3.9492,5383.47,3432195,ok,
2026-04-23T14:13:06,polars_lazy,filter,10GB,13554371,3,3.8219,5300.96,3546465,ok,
2026-04-23T14:13:22,polars_lazy,groupby,10GB,13554371,1,8.1598,8504.5,1661113,ok,
2026-04-23T14:13:30,polars_lazy,groupby,10GB,13554371,2,7.9716,8431.01,1700333,ok,
2026-04-23T14:13:37,polars_lazy,groupby,10GB,13554371,3,7.2279,7552.07,1875282,ok,
2026-04-23T14:14:13,polars_lazy,join,10GB,13554371,1,18.3017,9619.98,740609,ok,
2026-04-23T14:14:32,polars_lazy,join,10GB,13554371,2,18.9452,9563.66,715450,ok,
2026-04-23T14:14:50,polars_lazy,join,10GB,13554371,3,18.2841,9503.59,741321,ok,
2026-04-23T14:15:27,polars_lazy,pipeline,10GB,13554371,1,18.3833,9059.48,737321,ok,
2026-04-23T14:15:46,polars_lazy,pipeline,10GB,13554371,2,18.2167,8847.36,744063,ok,
2026-04-23T14:16:04,polars_lazy,pipeline,10GB,13554371,3,17.9075,8128.98,756912,ok,
2026-04-23T14:16:25,polars_lazy,filter,20GB,27108743,1,10.5453,10339.75,2570686,ok,
2026-04-23T14:16:35,polars_lazy,filter,20GB,27108743,2,9.9679,10306.54,2719594,ok,
2026-04-23T14:16:45,polars_lazy,filter,20GB,27108743,3,9.8117,10324.79,2762887,ok,
2026-04-23T14:17:21,polars_lazy,groupby,20GB,27108743,1,18.4133,11875.24,1472238,ok,
2026-04-23T14:17:41,polars_lazy,groupby,20GB,27108743,2,20.131,12098.72,1346616,ok,
2026-04-23T14:17:59,polars_lazy,groupby,20GB,27108743,3,18.0731,12092.12,1499949,ok,
2026-04-23T14:19:52,polars_lazy,join,20GB,27108743,1,59.7539,9632.12,453673,ok,
2026-04-23T14:20:52,polars_lazy,join,20GB,27108743,2,59.8981,10182.45,452581,ok,
2026-04-23T14:21:49,polars_lazy,join,20GB,27108743,3,56.64,11289.14,478615,ok,
2026-04-23T14:22:49,polars_lazy,pipeline,20GB,27108743,1,29.6422,12138.2,914532,ok,
2026-04-23T14:23:17,polars_lazy,pipeline,20GB,27108743,2,27.9755,12101.76,969017,ok,
2026-04-23T14:23:46,polars_lazy,pipeline,20GB,27108743,3,29.0227,12011.61,934052,ok,
