timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-04-22T22:52:02,polars_lazy,filter,1M,1000000,1,0.2357,695.21,4242759,ok,
2026-04-22T22:52:03,polars_lazy,filter,1M,1000000,2,0.2254,678.73,4435904,ok,
2026-04-22T22:52:03,polars_lazy,filter,1M,1000000,3,0.2241,650.02,4462927,ok,
2026-04-22T22:52:04,polars_lazy,groupby,1M,1000000,1,0.6278,1220.49,1592981,ok,
2026-04-22T22:52:05,polars_lazy,groupby,1M,1000000,2,0.6452,1317.66,1549943,ok,
2026-04-22T22:52:05,polars_lazy,groupby,1M,1000000,3,0.6404,1180.38,1561517,ok,
2026-04-22T22:52:26,polars_lazy,join,1M,1000000,1,10.2346,4394.99,97708,ok,
2026-04-22T22:52:36,polars_lazy,join,1M,1000000,2,10.4069,4496.32,96090,ok,
2026-04-22T22:52:47,polars_lazy,join,1M,1000000,3,10.6889,4556.2,93555,ok,
2026-04-22T22:53:08,polars_lazy,pipeline,1M,1000000,1,10.1297,4180.69,98720,ok,
2026-04-22T22:53:18,polars_lazy,pipeline,1M,1000000,2,10.2293,4106.52,97759,ok,
2026-04-22T22:53:28,polars_lazy,pipeline,1M,1000000,3,10.4794,4159.13,95425,ok,
2026-04-22T22:53:34,polars_lazy,filter,10M,10000000,1,2.5463,3990.67,3927341,ok,
2026-04-22T22:53:37,polars_lazy,filter,10M,10000000,2,2.6091,4040.78,3832759,ok,
2026-04-22T22:53:39,polars_lazy,filter,10M,10000000,3,2.6737,4051.84,3740182,ok,
2026-04-22T22:53:48,polars_lazy,groupby,10M,10000000,1,4.3077,5439.11,2321411,ok,
2026-04-22T22:53:53,polars_lazy,groupby,10M,10000000,2,4.6946,4961.39,2130093,ok,
2026-04-22T22:53:57,polars_lazy,groupby,10M,10000000,3,4.1216,5123.15,2426255,ok,
2026-04-22T22:54:25,polars_lazy,join,10M,10000000,1,14.1337,7737.64,707527,ok,
2026-04-22T22:54:40,polars_lazy,join,10M,10000000,2,14.6577,7681.65,682236,ok,
2026-04-22T22:54:54,polars_lazy,join,10M,10000000,3,14.3495,7687.53,696888,ok,
2026-04-22T22:55:22,polars_lazy,pipeline,10M,10000000,1,14.4856,6810.11,690341,ok,
2026-04-22T22:55:36,polars_lazy,pipeline,10M,10000000,2,13.4744,7036.94,742146,ok,
2026-04-22T22:55:49,polars_lazy,pipeline,10M,10000000,3,13.4314,6424.47,744526,ok,
2026-04-22T22:57:18,polars_lazy,filter,50M,50000000,1,46.5808,9163.68,1073403,ok,
2026-04-22T22:58:08,polars_lazy,filter,50M,50000000,2,49.9024,8942.21,1001955,ok,
2026-04-22T22:58:56,polars_lazy,filter,50M,50000000,3,47.0468,8965.79,1062771,ok,
2026-04-22T23:01:10,polars_lazy,groupby,50M,50000000,1,72.8781,12122.69,686077,ok,
2026-04-22T23:02:29,polars_lazy,groupby,50M,50000000,2,78.2867,11681.89,638678,ok,
2026-04-22T23:03:27,polars_lazy,groupby,50M,50000000,3,58.604,11925.4,853184,ok,
2026-04-22T23:08:04,polars_lazy,join,50M,50000000,1,159.0521,11848.63,314362,ok,
2026-04-22T23:10:26,polars_lazy,join,50M,50000000,2,141.9636,11704.77,352203,ok,
2026-04-22T23:12:48,polars_lazy,join,50M,50000000,3,141.8819,11714.89,352406,ok,
2026-04-22T23:14:23,polars_lazy,pipeline,50M,50000000,1,42.6404,12196.63,1172596,ok,
2026-04-22T23:15:05,polars_lazy,pipeline,50M,50000000,2,41.8688,12308.31,1194207,ok,
2026-04-22T23:15:52,polars_lazy,pipeline,50M,50000000,3,47.0853,12080.37,1061901,ok,
