timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-04-12T01:58:05,pandas,filter,1M,1000000,1,1.2473,628.09,801761,ok,
2026-04-12T01:58:06,pandas,filter,1M,1000000,2,1.0945,657.25,913660,ok,
2026-04-12T01:58:07,pandas,filter,1M,1000000,3,1.0562,692.59,946797,ok,
2026-04-12T01:58:10,pandas,groupby,1M,1000000,1,1.354,750.3,738560,ok,
2026-04-12T01:58:11,pandas,groupby,1M,1000000,2,1.2725,756.34,785873,ok,
2026-04-12T01:58:14,pandas,groupby,1M,1000000,3,2.775,757.02,360361,ok,
2026-04-12T01:58:20,pandas,join,1M,1000000,1,3.2344,776.64,309180,ok,
2026-04-12T01:58:23,pandas,join,1M,1000000,2,2.5773,788.07,387998,ok,
2026-04-12T01:58:26,pandas,join,1M,1000000,3,2.6532,788.99,376907,ok,
2026-04-12T01:58:29,pandas,pipeline,1M,1000000,1,1.7466,792.12,572542,ok,
2026-04-12T01:58:32,pandas,pipeline,1M,1000000,2,2.8857,793.25,346531,ok,
2026-04-12T01:58:34,pandas,pipeline,1M,1000000,3,2.2529,810.74,443865,ok,
2026-04-12T01:58:37,polars_lazy,filter,1M,1000000,1,0.1509,320.07,6628882,ok,
2026-04-12T01:58:37,polars_lazy,filter,1M,1000000,2,0.1375,319.64,7272526,ok,
2026-04-12T01:58:37,polars_lazy,filter,1M,1000000,3,0.1493,336.11,6696506,ok,
2026-04-12T01:58:38,polars_lazy,groupby,1M,1000000,1,0.4052,837.93,2467951,ok,
2026-04-12T01:58:38,polars_lazy,groupby,1M,1000000,2,0.412,801.88,2427139,ok,
2026-04-12T01:58:39,polars_lazy,groupby,1M,1000000,3,0.4145,850.52,2412282,ok,
2026-04-12T01:58:39,polars_lazy,join,1M,1000000,1,0.2904,542.0,3444046,ok,
2026-04-12T01:58:40,polars_lazy,join,1M,1000000,2,0.3618,464.19,2764316,ok,
2026-04-12T01:58:40,polars_lazy,join,1M,1000000,3,0.4628,481.45,2160753,ok,
2026-04-12T01:58:42,polars_lazy,pipeline,1M,1000000,1,0.5239,723.89,1908606,ok,
2026-04-12T01:58:42,polars_lazy,pipeline,1M,1000000,2,0.7022,933.86,1424123,ok,
2026-04-12T01:58:43,polars_lazy,pipeline,1M,1000000,3,0.5446,882.27,1836247,ok,
2026-04-12T01:59:08,dask,filter,1M,1000000,1,2.9129,1436.41,343301,ok,partition_size=256MB
2026-04-12T01:59:13,dask,filter,1M,1000000,2,5.3593,1725.0,186590,ok,partition_size=256MB
2026-04-12T01:59:18,dask,filter,1M,1000000,3,4.9028,1932.04,203967,ok,partition_size=256MB
2026-04-12T01:59:21,dask,groupby,1M,1000000,1,1.8382,1575.23,544024,ok,partition_size=256MB
2026-04-12T01:59:22,dask,groupby,1M,1000000,2,0.9289,1578.2,1076553,ok,partition_size=256MB
2026-04-12T01:59:24,dask,groupby,1M,1000000,3,1.472,1595.09,679335,ok,partition_size=256MB
2026-04-12T01:59:35,dask,join,1M,1000000,1,4.9856,2425.13,200578,ok,partition_size=256MB
2026-04-12T01:59:40,dask,join,1M,1000000,2,5.4011,2442.1,185147,ok,partition_size=256MB
2026-04-12T01:59:47,dask,join,1M,1000000,3,6.6662,2506.43,150011,ok,partition_size=256MB
2026-04-12T01:59:50,dask,pipeline,1M,1000000,1,1.3371,1995.15,747874,ok,partition_size=256MB
2026-04-12T01:59:51,dask,pipeline,1M,1000000,2,1.5433,1998.86,647946,ok,partition_size=256MB
2026-04-12T01:59:53,dask,pipeline,1M,1000000,3,1.3404,2015.91,746054,ok,partition_size=256MB
