timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-05-08T09:14:42,dask,filter,1M,1000000,1,0.8693,1467.33,1150390,ok,partition_size=128MB
2026-05-08T09:14:43,dask,filter,1M,1000000,2,0.8891,1344.97,1124753,ok,partition_size=128MB
2026-05-08T09:14:44,dask,filter,1M,1000000,3,0.8819,1355.94,1133859,ok,partition_size=128MB
2026-05-08T09:14:45,dask,groupby,1M,1000000,1,0.4628,783.3,2160739,ok,partition_size=128MB
2026-05-08T09:14:45,dask,groupby,1M,1000000,2,0.4263,790.16,2345600,ok,partition_size=128MB
2026-05-08T09:14:46,dask,groupby,1M,1000000,3,0.4856,789.17,2059117,ok,partition_size=128MB
2026-05-08T09:14:51,dask,join,1M,1000000,1,2.8156,1490.01,355158,ok,partition_size=128MB
2026-05-08T09:14:53,dask,join,1M,1000000,2,2.0844,1550.15,479755,ok,partition_size=128MB
2026-05-08T09:14:55,dask,join,1M,1000000,3,2.0441,1560.12,489223,ok,partition_size=128MB
2026-05-08T09:15:00,dask,pipeline,1M,1000000,1,2.137,1023.25,467947,ok,partition_size=128MB
2026-05-08T09:15:03,dask,pipeline,1M,1000000,2,2.7298,984.11,366321,ok,partition_size=128MB
2026-05-08T09:15:05,dask,pipeline,1M,1000000,3,2.1092,1046.02,474106,ok,partition_size=128MB
2026-05-08T09:15:19,dask,filter,10M,10000000,1,7.2596,3670.19,1377478,ok,partition_size=128MB
2026-05-08T09:15:27,dask,filter,10M,10000000,2,7.457,3810.6,1341014,ok,partition_size=128MB
2026-05-08T09:15:33,dask,filter,10M,10000000,3,6.4741,3768.57,1544606,ok,partition_size=128MB
2026-05-08T09:15:44,dask,groupby,10M,10000000,1,4.7449,1440.3,2107516,ok,partition_size=128MB
2026-05-08T09:15:49,dask,groupby,10M,10000000,2,5.4658,1434.12,1829564,ok,partition_size=128MB
2026-05-08T09:15:54,dask,groupby,10M,10000000,3,5.0947,1454.16,1962816,ok,partition_size=128MB
2026-05-08T09:16:26,dask,join,10M,10000000,1,16.2784,4576.08,614312,ok,partition_size=128MB
2026-05-08T09:16:42,dask,join,10M,10000000,2,15.4169,4684.41,648640,ok,partition_size=128MB
2026-05-08T09:16:57,dask,join,10M,10000000,3,15.2001,4598.63,657890,ok,partition_size=128MB
2026-05-08T09:17:14,dask,pipeline,10M,10000000,1,7.7642,1595.7,1287962,ok,partition_size=128MB
2026-05-08T09:17:21,dask,pipeline,10M,10000000,2,7.485,1594.29,1336007,ok,partition_size=128MB
2026-05-08T09:17:30,dask,pipeline,10M,10000000,3,8.61,1700.78,1161437,ok,partition_size=128MB
