timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-05-10T16:22:02,dask,filter,10M_highuid,10000000,1,4.5841,6780.48,2181441,ok,partition_size=128MB
2026-05-10T16:22:08,dask,filter,10M_highuid,10000000,2,5.5494,6518.5,1801992,ok,partition_size=128MB
2026-05-10T16:22:13,dask,filter,10M_highuid,10000000,3,5.4728,6544.02,1827234,ok,partition_size=128MB
2026-05-10T16:22:21,dask,groupby,10M_highuid,10000000,1,3.4553,3249.88,2894102,ok,partition_size=128MB
2026-05-10T16:22:23,dask,groupby,10M_highuid,10000000,2,2.8345,3256.25,3527923,ok,partition_size=128MB
2026-05-10T16:22:26,dask,groupby,10M_highuid,10000000,3,2.6601,3257.1,3759224,ok,partition_size=128MB
2026-05-10T16:24:49,dask,join,10M_highuid,10000000,1,72.5123,8997.5,137908,ok,partition_size=128MB
2026-05-10T16:26:12,dask,join,10M_highuid,10000000,2,82.3778,8792.23,121392,ok,partition_size=128MB
2026-05-10T16:27:31,dask,join,10M_highuid,10000000,3,77.8473,7762.76,128457,ok,partition_size=128MB
2026-05-10T16:28:57,dask,pipeline,10M_highuid,10000000,1,39.8258,3018.49,251093,ok,partition_size=128MB
2026-05-10T16:29:26,dask,pipeline,10M_highuid,10000000,2,29.224,3469.86,342184,ok,partition_size=128MB
2026-05-10T16:30:09,dask,pipeline,10M_highuid,10000000,3,42.9354,3416.92,232908,ok,partition_size=128MB
