timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-05-09T17:13:30,dask,filter,10M_skewed,10000000,1,4.9632,6842.54,2014822,ok,partition_size=128MB
2026-05-09T17:13:35,dask,filter,10M_skewed,10000000,2,4.9346,6893.57,2026499,ok,partition_size=128MB
2026-05-09T17:13:40,dask,filter,10M_skewed,10000000,3,4.6584,6887.16,2146640,ok,partition_size=128MB
2026-05-09T17:13:42,dask,groupby,10M_skewed,10000000,1,0.7293,3039.72,13712348,ok,partition_size=128MB
2026-05-09T17:13:42,dask,groupby,10M_skewed,10000000,2,0.6509,2985.29,15363338,ok,partition_size=128MB
2026-05-09T17:13:43,dask,groupby,10M_skewed,10000000,3,0.7392,3041.26,13527763,ok,partition_size=128MB
2026-05-09T17:14:45,dask,join,10M_skewed,10000000,1,27.3794,9429.49,365238,ok,partition_size=128MB
2026-05-09T17:15:09,dask,join,10M_skewed,10000000,2,23.5291,11256.59,425006,ok,partition_size=128MB
2026-05-09T17:15:31,dask,join,10M_skewed,10000000,3,22.7466,11619.16,439627,ok,partition_size=128MB
2026-05-09T17:16:22,dask,pipeline,10M_skewed,10000000,1,25.4272,2827.88,393279,ok,partition_size=128MB
2026-05-09T17:16:47,dask,pipeline,10M_skewed,10000000,2,24.2757,2879.9,411935,ok,partition_size=128MB
2026-05-09T17:17:11,dask,pipeline,10M_skewed,10000000,3,24.6354,2905.16,405921,ok,partition_size=128MB
2026-05-10T16:22:02,dask,filter,10M_highuid,10000000,1,4.5841,6780.48,2181441,ok,partition_size=128MB
2026-05-10T16:22:08,dask,filter,10M_highuid,10000000,2,5.5494,6518.5,1801992,ok,partition_size=128MB
2026-05-10T16:22:13,dask,filter,10M_highuid,10000000,3,5.4728,6544.02,1827234,ok,partition_size=128MB
2026-05-10T16:22:21,dask,groupby,10M_highuid,10000000,1,3.4553,3249.88,2894102,ok,partition_size=128MB
2026-05-10T16:22:23,dask,groupby,10M_highuid,10000000,2,2.8345,3256.25,3527923,ok,partition_size=128MB
2026-05-10T16:22:26,dask,groupby,10M_highuid,10000000,3,2.6601,3257.1,3759224,ok,partition_size=128MB
2026-05-10T16:24:49,dask,join,10M_highuid,10000000,1,72.5123,8997.5,137908,ok,partition_size=128MB
2026-05-10T16:26:12,dask,join,10M_highuid,10000000,2,82.3778,8792.23,121392,ok,partition_size=128MB
2026-05-10T16:27:31,dask,join,10M_highuid,10000000,3,77.8473,7762.76,128457,ok,partition_size=128MB
2026-05-10T16:28:57,dask,pipeline,10M_highuid,10000000,1,39.8258,3018.49,251093,ok,partition_size=128MB
2026-05-10T16:29:26,dask,pipeline,10M_highuid,10000000,2,29.224,3469.86,342184,ok,partition_size=128MB
2026-05-10T16:30:09,dask,pipeline,10M_highuid,10000000,3,42.9354,3416.92,232908,ok,partition_size=128MB
