timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-05-08T02:22:53,dask,filter,1M,1000000,1,0.6924,970.89,1444232,ok,partition_size=128MB
2026-05-08T02:22:54,dask,filter,1M,1000000,2,0.6795,1005.11,1471637,ok,partition_size=128MB
2026-05-08T02:22:55,dask,filter,1M,1000000,3,0.7029,1044.53,1422738,ok,partition_size=128MB
2026-05-08T02:22:55,dask,groupby,1M,1000000,1,0.3038,720.91,3291330,ok,partition_size=128MB
2026-05-08T02:22:56,dask,groupby,1M,1000000,2,0.3406,720.91,2936007,ok,partition_size=128MB
2026-05-08T02:22:56,dask,groupby,1M,1000000,3,0.3095,720.89,3231243,ok,partition_size=128MB
2026-05-08T02:23:13,dask,join,1M,1000000,1,9.9012,4121.0,100997,ok,partition_size=128MB
2026-05-08T02:23:20,dask,join,1M,1000000,2,7.4276,4079.86,134632,ok,partition_size=128MB
2026-05-08T02:23:27,dask,join,1M,1000000,3,6.6856,4183.73,149576,ok,partition_size=128MB
2026-05-08T02:24:11,dask,pipeline,1M,1000000,1,20.2249,2528.73,49444,ok,partition_size=128MB
2026-05-08T02:24:31,dask,pipeline,1M,1000000,2,20.7101,2349.24,48286,ok,partition_size=128MB
2026-05-08T02:24:52,dask,pipeline,1M,1000000,3,20.93,2355.06,47778,ok,partition_size=128MB
2026-05-08T02:25:04,dask,filter,10M,10000000,1,6.348,6294.14,1575296,ok,partition_size=128MB
2026-05-08T02:25:10,dask,filter,10M,10000000,2,6.2337,6276.88,1604178,ok,partition_size=128MB
2026-05-08T02:25:16,dask,filter,10M,10000000,3,6.0123,6634.55,1663264,ok,partition_size=128MB
2026-05-08T02:25:25,dask,groupby,10M,10000000,1,4.7635,4051.18,2099288,ok,partition_size=128MB
2026-05-08T02:25:31,dask,groupby,10M,10000000,2,5.3601,3870.14,1865619,ok,partition_size=128MB
2026-05-08T02:25:36,dask,groupby,10M,10000000,3,5.1614,3883.18,1937451,ok,partition_size=128MB
2026-05-08T02:27:51,dask,join,10M,10000000,1,70.4279,8843.54,141989,ok,partition_size=128MB
2026-05-08T02:28:57,dask,join,10M,10000000,2,65.1366,9639.8,153524,ok,partition_size=128MB
2026-05-08T02:29:52,dask,join,10M,10000000,3,55.4092,9366.92,180475,ok,partition_size=128MB
2026-05-08T02:30:43,dask,pipeline,10M,10000000,1,24.4671,4121.73,408712,ok,partition_size=128MB
2026-05-08T02:31:07,dask,pipeline,10M,10000000,2,24.0552,4421.25,415710,ok,partition_size=128MB
2026-05-08T02:31:31,dask,pipeline,10M,10000000,3,24.3188,4653.07,411204,ok,partition_size=128M
2026-05-08T21:19:40,dask,filter,50M,50000000,1,30.3387,10864.4,1648059,ok,partition_size=128MB
2026-05-08T21:20:14,dask,filter,50M,50000000,2,34.1186,10441.11,1465475,ok,partition_size=128MB
2026-05-08T21:20:51,dask,filter,50M,50000000,3,36.9512,10461.98,1353135,ok,partition_size=128MB
2026-05-08T21:21:15,dask,groupby,50M,50000000,1,11.2623,4521.61,4439572,ok,partition_size=128MB
2026-05-08T21:21:27,dask,groupby,50M,50000000,2,11.6311,4828.77,4298804,ok,partition_size=128MB
2026-05-08T21:21:38,dask,groupby,50M,50000000,3,10.8214,4735.56,4620453,ok,partition_size=128MB
2026-05-08T21:28:19,dask,join,50M,50000000,1,213.2882,11892.59,234425,ok,partition_size=128MB
2026-05-08T21:32:04,dask,join,50M,50000000,2,224.3994,11786.76,222817,ok,partition_size=128MB
2026-05-08T21:35:55,dask,join,50M,50000000,3,231.281,10792.99,216187,ok,partition_size=128MB
2026-05-08T21:37:07,dask,pipeline,50M,50000000,1,34.8391,7140.73,1435171,ok,partition_size=128MB
2026-05-08T21:37:41,dask,pipeline,50M,50000000,2,33.7119,6928.24,1483154,ok,partition_size=128MB
2026-05-08T21:38:14,dask,pipeline,50M,50000000,3,33.7127,6552.63,1483121,ok,partition_size=128MB
