timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-04-12T01:59:08,dask,filter,1M,1000000,1,2.9129,1436.41,343301,ok,partition_size=256MB
2026-04-12T01:59:13,dask,filter,1M,1000000,2,5.3593,1725.0,186590,ok,partition_size=256MB
2026-04-12T01:59:18,dask,filter,1M,1000000,3,4.9028,1932.04,203967,ok,partition_size=256MB
2026-04-12T01:59:21,dask,groupby,1M,1000000,1,1.8382,1575.23,544024,ok,partition_size=256MB
2026-04-12T01:59:22,dask,groupby,1M,1000000,2,0.9289,1578.2,1076553,ok,partition_size=256MB
2026-04-12T01:59:24,dask,groupby,1M,1000000,3,1.472,1595.09,679335,ok,partition_size=256MB
2026-04-12T01:59:35,dask,join,1M,1000000,1,4.9856,2425.13,200578,ok,partition_size=256MB
2026-04-12T01:59:40,dask,join,1M,1000000,2,5.4011,2442.1,185147,ok,partition_size=256MB
2026-04-12T01:59:47,dask,join,1M,1000000,3,6.6662,2506.43,150011,ok,partition_size=256MB
2026-04-12T01:59:50,dask,pipeline,1M,1000000,1,1.3371,1995.15,747874,ok,partition_size=256MB
2026-04-12T01:59:51,dask,pipeline,1M,1000000,2,1.5433,1998.86,647946,ok,partition_size=256MB
2026-04-12T01:59:53,dask,pipeline,1M,1000000,3,1.3404,2015.91,746054,ok,partition_size=256MB
