timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-05-08T21:54:03,dask,filter,5GB,6917051,1,2.2757,4743.89,3039591,ok,partition_size=128MB
2026-05-08T21:54:05,dask,filter,5GB,6917051,2,2.2475,4891.03,3077715,ok,partition_size=128MB
2026-05-08T21:54:08,dask,filter,5GB,6917051,3,2.2537,4770.53,3069215,ok,partition_size=128MB
2026-05-08T21:54:10,dask,groupby,5GB,6917051,1,1.0804,2347.22,6402447,ok,partition_size=128MB
2026-05-08T21:54:11,dask,groupby,5GB,6917051,2,1.0594,2356.54,6529217,ok,partition_size=128MB
2026-05-08T21:54:12,dask,groupby,5GB,6917051,3,1.0554,2384.73,6553809,ok,partition_size=128MB
2026-05-08T21:54:42,dask,join,5GB,6917051,1,15.7114,11221.59,440256,ok,partition_size=128MB
2026-05-08T21:54:56,dask,join,5GB,6917051,2,14.0382,11102.45,492731,ok,partition_size=128MB
2026-05-08T21:55:10,dask,join,5GB,6917051,3,14.2666,10687.49,484844,ok,partition_size=128MB
2026-05-08T21:55:53,dask,pipeline,5GB,6917051,1,21.1393,3965.32,327213,ok,partition_size=128MB
2026-05-08T21:56:14,dask,pipeline,5GB,6917051,2,21.2971,3967.57,324788,ok,partition_size=128MB
2026-05-08T21:56:35,dask,pipeline,5GB,6917051,3,21.0637,3723.16,328388,ok,partition_size=128MB
2026-05-08T21:56:45,dask,filter,10GB,13834103,1,4.7305,9298.57,2924424,ok,partition_size=128MB
2026-05-08T21:56:50,dask,filter,10GB,13834103,2,4.6165,9919.68,2996673,ok,partition_size=128MB
2026-05-08T21:56:54,dask,filter,10GB,13834103,3,4.7758,9234.74,2896685,ok,partition_size=128MB
2026-05-08T21:56:59,dask,groupby,10GB,13834103,1,1.8796,4193.33,7359957,ok,partition_size=128MB
2026-05-08T21:57:01,dask,groupby,10GB,13834103,2,1.8993,4228.82,7283826,ok,partition_size=128MB
2026-05-08T21:57:03,dask,groupby,10GB,13834103,3,1.9047,4297.59,7263309,ok,partition_size=128MB
2026-05-08T21:59:08,dask,join,10GB,13834103,1,66.2416,9872.07,208843,ok,partition_size=128MB
2026-05-08T22:00:09,dask,join,10GB,13834103,2,61.3281,9962.53,225575,ok,partition_size=128MB
2026-05-08T22:01:11,dask,join,10GB,13834103,3,61.2904,9544.83,225714,ok,partition_size=128MB
2026-05-08T22:02:01,dask,pipeline,10GB,13834103,1,26.3594,3306.04,524826,ok,partition_size=128MB
2026-05-08T22:02:27,dask,pipeline,10GB,13834103,2,25.5977,3933.61,540443,ok,partition_size=128MB
2026-05-08T22:02:49,dask,pipeline,10GB,13834103,3,22.3928,4335.99,617794,ok,partition_size=128MB
2026-05-08T22:03:22,dask,filter,20GB,27668206,1,15.535,10609.78,1781021,ok,partition_size=128MB
2026-05-08T22:03:37,dask,filter,20GB,27668206,2,15.0682,11526.97,1836198,ok,partition_size=128MB
2026-05-08T22:03:52,dask,filter,20GB,27668206,3,14.2588,12422.54,1940435,ok,partition_size=128MB
2026-05-08T22:04:00,dask,groupby,20GB,27668206,1,3.7949,5743.18,7290830,ok,partition_size=128MB
2026-05-08T22:04:04,dask,groupby,20GB,27668206,2,3.8006,5736.05,7279862,ok,partition_size=128MB
2026-05-08T22:04:08,dask,groupby,20GB,27668206,3,3.6817,5062.43,7514973,ok,partition_size=128MB
2026-05-08T22:08:10,dask,join,20GB,27668206,1,122.6979,11834.22,225499,ok,partition_size=128MB
2026-05-08T22:10:13,dask,join,20GB,27668206,2,122.3509,11921.4,226138,ok,partition_size=128MB
2026-05-08T22:12:11,dask,join,20GB,27668206,3,117.6643,10681.85,235145,ok,partition_size=128MB
2026-05-08T22:13:02,dask,pipeline,20GB,27668206,1,24.8872,4002.87,1111743,ok,partition_size=128MB
2026-05-08T22:13:26,dask,pipeline,20GB,27668206,2,24.2521,4533.78,1140859,ok,partition_size=128MB
2026-05-08T22:13:50,dask,pipeline,20GB,27668206,3,23.5542,4844.83,1174663,ok,partition_size=128MB
