timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-05-08T09:17:53,pandas,filter,1M,1000000,1,3.2943,1197.38,303553,ok,
2026-05-08T09:17:56,pandas,filter,1M,1000000,2,2.5896,1172.61,386167,ok,
2026-05-08T09:17:59,pandas,filter,1M,1000000,3,3.2354,1233.49,309078,ok,
2026-05-08T09:18:07,pandas,groupby,1M,1000000,1,3.7064,1263.64,269801,ok,
2026-05-08T09:18:11,pandas,groupby,1M,1000000,2,3.9903,1255.63,250610,ok,
2026-05-08T09:18:15,pandas,groupby,1M,1000000,3,3.7317,1311.44,267974,ok,
2026-05-08T09:18:23,pandas,join,1M,1000000,1,4.2617,1298.75,234647,ok,
2026-05-08T09:18:27,pandas,join,1M,1000000,2,3.8957,1281.35,256690,ok,
2026-05-08T09:18:31,pandas,join,1M,1000000,3,3.9367,1358.85,254018,ok,
2026-05-08T09:18:40,pandas,pipeline,1M,1000000,1,4.6499,1280.59,215059,ok,
2026-05-08T09:18:45,pandas,pipeline,1M,1000000,2,4.9971,1343.24,200115,ok,
2026-05-08T09:18:50,pandas,pipeline,1M,1000000,3,4.4338,1248.49,225541,ok,
2026-05-08T09:19:49,pandas,filter,10M,10000000,1,24.4931,6087.82,408278,ok,
2026-05-08T09:20:14,pandas,filter,10M,10000000,2,24.5367,6311.74,407553,ok,
2026-05-08T09:20:39,pandas,filter,10M,10000000,3,25.2301,6319.5,396353,ok,
2026-05-08T09:21:50,pandas,groupby,10M,10000000,1,35.5484,6020.02,281306,ok,
2026-05-08T09:22:24,pandas,groupby,10M,10000000,2,34.0391,6224.66,293780,ok,
2026-05-08T09:22:59,pandas,groupby,10M,10000000,3,34.8079,6259.24,287291,ok,
2026-05-08T09:24:06,pandas,join,10M,10000000,1,33.445,7397.49,298998,ok,
2026-05-08T09:24:42,pandas,join,10M,10000000,2,35.3363,7495.47,282995,ok,
2026-05-08T09:25:16,pandas,join,10M,10000000,3,34.4777,7495.69,290043,ok,
2026-05-08T09:26:31,pandas,pipeline,10M,10000000,1,37.7966,6855.45,264574,ok,
2026-05-08T09:27:09,pandas,pipeline,10M,10000000,2,37.4514,6792.59,267013,ok,
2026-05-08T09:27:46,pandas,pipeline,10M,10000000,3,36.8958,6792.42,271034,ok,
