timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-05-10T16:31:45,pandas,filter,10M_highuid,10000000,1,37.8161,7141.57,264438,ok,
2026-05-10T16:32:09,pandas,filter,10M_highuid,10000000,2,23.1896,7197.62,431227,ok,
2026-05-10T16:32:31,pandas,filter,10M_highuid,10000000,3,22.3244,7140.92,447941,ok,
2026-05-10T16:33:47,pandas,groupby,10M_highuid,10000000,1,38.5138,6884.55,259647,ok,
2026-05-10T16:34:25,pandas,groupby,10M_highuid,10000000,2,38.3244,7002.65,260930,ok,
2026-05-10T16:35:12,pandas,groupby,10M_highuid,10000000,3,46.551,7011.31,214818,ok,
2026-05-10T16:36:48,pandas,join,10M_highuid,10000000,1,43.1176,9047.79,231924,ok,
2026-05-10T16:37:28,pandas,join,10M_highuid,10000000,2,40.3075,8904.91,248093,ok,
2026-05-10T16:38:09,pandas,join,10M_highuid,10000000,3,41.2944,9159.23,242164,ok,
2026-05-10T16:39:21,pandas,pipeline,10M_highuid,10000000,1,39.9075,7927.71,250579,ok,
2026-05-10T16:39:54,pandas,pipeline,10M_highuid,10000000,2,32.7818,7942.45,305047,ok,
2026-05-10T16:40:29,pandas,pipeline,10M_highuid,10000000,3,35.1361,7899.24,284607,ok,
