timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-05-08T02:07:16,pandas,filter,1M,1000000,1,2.0275,1342.21,493218,ok,
2026-05-08T02:07:18,pandas,filter,1M,1000000,2,2.1043,1369.8,475211,ok,
2026-05-08T02:07:20,pandas,filter,1M,1000000,3,2.0252,1356.99,493779,ok,
2026-05-08T02:07:25,pandas,groupby,1M,1000000,1,2.6655,1371.59,375165,ok,
2026-05-08T02:07:28,pandas,groupby,1M,1000000,2,2.6789,1386.44,373286,ok,
2026-05-08T02:07:30,pandas,groupby,1M,1000000,3,2.5574,1387.31,391016,ok,
2026-05-08T02:08:00,pandas,join,1M,1000000,1,15.6118,2795.41,64054,ok,
2026-05-08T02:08:16,pandas,join,1M,1000000,2,15.7417,2819.55,63526,ok,
2026-05-08T02:08:27,pandas,join,1M,1000000,3,11.1551,2921.27,89645,ok,
2026-05-08T02:08:39,pandas,pipeline,1M,1000000,1,5.8653,2288.47,170494,ok,
2026-05-08T02:08:45,pandas,pipeline,1M,1000000,2,5.8425,2268.11,171158,ok,
2026-05-08T02:08:53,pandas,pipeline,1M,1000000,3,8.0286,2254.58,124555,ok,
2026-05-08T02:10:02,pandas,filter,10M,10000000,1,33.7612,6575.2,296198,ok,
2026-05-08T02:10:35,pandas,filter,10M,10000000,2,33.4844,6590.91,298646,ok,
2026-05-08T02:11:03,pandas,filter,10M,10000000,3,27.2952,6563.23,366364,ok,
2026-05-08T02:11:52,pandas,groupby,10M,10000000,1,24.7507,6346.87,404029,ok,
2026-05-08T02:12:17,pandas,groupby,10M,10000000,2,24.4299,6335.91,409335,ok,
2026-05-08T02:12:49,pandas,groupby,10M,10000000,3,32.6439,6441.45,306336,ok,
2026-05-08T02:14:22,pandas,join,10M,10000000,1,47.1109,8484.59,212265,ok,
2026-05-08T02:15:04,pandas,join,10M,10000000,2,42.3496,8514.88,236130,ok,
2026-05-08T02:15:38,pandas,join,10M,10000000,3,33.1826,8506.42,301363,ok,
2026-05-08T02:16:34,pandas,pipeline,10M,10000000,1,28.4667,7407.06,351287,ok,
2026-05-08T02:17:02,pandas,pipeline,10M,10000000,2,28.1579,7355.19,355140,ok,
2026-05-08T02:17:31,pandas,pipeline,10M,10000000,3,28.3878,7431.21,352264,ok,
2026-05-08T03:06:34,pandas,filter,50M,50000000,1,836.5821,11632.62,59767,ok,
2026-05-08T03:20:33,pandas,filter,50M,50000000,2,838.4921,11400.31,59631,ok,
2026-05-08T03:34:30,pandas,filter,50M,50000000,3,836.2893,11507.98,59788,ok,
2026-05-08T03:50:50,pandas,groupby,50M,50000000,1,488.4767,11768.41,102359,ok,
2026-05-08T03:58:59,pandas,groupby,50M,50000000,2,489.0051,11963.7,102248,ok,
2026-05-08T04:07:04,pandas,groupby,50M,50000000,3,484.4205,11850.34,103216,ok,
2026-05-08T04:58:43,pandas,join,50M,50000000,1,1597.8485,11884.0,31292,ok,
2026-05-08T05:24:22,pandas,join,50M,50000000,2,1538.0464,11901.87,32509,ok,
2026-05-08T05:49:04,pandas,join,50M,50000000,3,1481.6789,11706.32,33746,ok,
2026-05-08T09:28:26,pandas,filter,50M,50000000,1,612.5669,11867.97,81624,ok,
2026-05-08T09:38:52,pandas,filter,50M,50000000,2,626.4775,11860.13,79811,ok,
2026-05-08T09:49:08,pandas,filter,50M,50000000,3,615.2418,12158.97,81269,ok,
2026-05-08T10:01:46,pandas,groupby,50M,50000000,1,376.1992,12080.91,132908,ok,
2026-05-08T10:08:13,pandas,groupby,50M,50000000,2,386.2349,11896.68,129455,ok,
2026-05-08T10:14:39,pandas,groupby,50M,50000000,3,386.3546,11963.48,129415,ok,
2026-05-08T10:59:28,pandas,join,50M,50000000,1,1464.0479,12110.61,34152,ok,
