timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-04-12T01:58:05,pandas,filter,1M,1000000,1,1.2473,628.09,801761,ok,
2026-04-12T01:58:06,pandas,filter,1M,1000000,2,1.0945,657.25,913660,ok,
2026-04-12T01:58:07,pandas,filter,1M,1000000,3,1.0562,692.59,946797,ok,
2026-04-12T01:58:10,pandas,groupby,1M,1000000,1,1.354,750.3,738560,ok,
2026-04-12T01:58:11,pandas,groupby,1M,1000000,2,1.2725,756.34,785873,ok,
2026-04-12T01:58:14,pandas,groupby,1M,1000000,3,2.775,757.02,360361,ok,
2026-04-12T01:58:20,pandas,join,1M,1000000,1,3.2344,776.64,309180,ok,
2026-04-12T01:58:23,pandas,join,1M,1000000,2,2.5773,788.07,387998,ok,
2026-04-12T01:58:26,pandas,join,1M,1000000,3,2.6532,788.99,376907,ok,
2026-04-12T01:58:29,pandas,pipeline,1M,1000000,1,1.7466,792.12,572542,ok,
2026-04-12T01:58:32,pandas,pipeline,1M,1000000,2,2.8857,793.25,346531,ok,
2026-04-12T01:58:34,pandas,pipeline,1M,1000000,3,2.2529,810.74,443865,ok,
