timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-05-08T22:21:56,pandas,filter,5GB,6917051,1,13.6951,4885.55,505074,ok,
2026-05-08T22:22:10,pandas,filter,5GB,6917051,2,13.6911,4874.48,505222,ok,
2026-05-08T22:22:23,pandas,filter,5GB,6917051,3,13.7053,4816.89,504698,ok,
2026-05-08T22:22:53,pandas,groupby,5GB,6917051,1,14.9986,4719.17,461180,ok,
2026-05-08T22:23:08,pandas,groupby,5GB,6917051,2,15.1072,4754.91,457865,ok,
2026-05-08T22:23:23,pandas,groupby,5GB,6917051,3,14.9454,4742.13,462822,ok,
2026-05-08T22:24:10,pandas,join,5GB,6917051,1,23.4736,6357.5,294673,ok,
2026-05-08T22:24:33,pandas,join,5GB,6917051,2,23.2415,6377.99,297617,ok,
2026-05-08T22:24:57,pandas,join,5GB,6917051,3,23.1682,6550.54,298558,ok,
2026-05-08T22:25:34,pandas,pipeline,5GB,6917051,1,18.9125,5732.81,365740,ok,
2026-05-08T22:25:53,pandas,pipeline,5GB,6917051,2,18.83,5760.66,367342,ok,
2026-05-08T22:26:12,pandas,pipeline,5GB,6917051,3,18.9664,5784.96,364700,ok,
2026-05-08T22:27:09,pandas,filter,10GB,13834103,1,28.8072,8649.44,480230,ok,
2026-05-08T22:27:37,pandas,filter,10GB,13834103,2,28.603,8826.8,483659,ok,
2026-05-08T22:28:06,pandas,filter,10GB,13834103,3,28.7286,8906.05,481545,ok,
2026-05-08T22:29:08,pandas,groupby,10GB,13834103,1,31.3464,8617.41,441330,ok,
2026-05-08T22:29:40,pandas,groupby,10GB,13834103,2,31.8895,8575.54,433813,ok,
2026-05-08T22:30:12,pandas,groupby,10GB,13834103,3,31.3637,8725.76,441086,ok,
2026-05-08T22:31:41,pandas,join,10GB,13834103,1,45.3656,11223.44,304947,ok,
2026-05-08T22:32:26,pandas,join,10GB,13834103,2,44.784,11003.41,308907,ok,
2026-05-08T22:33:10,pandas,join,10GB,13834103,3,44.2878,11141.41,312368,ok,
2026-05-08T22:34:23,pandas,pipeline,10GB,13834103,1,36.4448,9579.15,379590,ok,
2026-05-08T22:34:59,pandas,pipeline,10GB,13834103,2,36.424,9449.02,379807,ok,
2026-05-08T22:35:36,pandas,pipeline,10GB,13834103,3,36.6992,9553.95,376959,ok,
2026-05-08T22:43:01,pandas,filter,20GB,27668206,1,201.9262,11852.77,137021,ok,
2026-05-08T22:46:18,pandas,filter,20GB,27668206,2,196.7359,12084.75,140636,ok,
2026-05-08T22:49:28,pandas,filter,20GB,27668206,3,190.426,11710.85,145296,ok,
2026-05-08T22:54:03,pandas,groupby,20GB,27668206,1,136.555,11786.89,202616,ok,
2026-05-08T22:56:18,pandas,groupby,20GB,27668206,2,134.6257,11966.99,205519,ok,
2026-05-08T22:58:35,pandas,groupby,20GB,27668206,3,136.7805,11901.43,202282,ok,
2026-05-08T23:12:50,pandas,join,20GB,27668206,1,442.6476,12120.63,62506,ok,
2026-05-08T23:20:31,pandas,join,20GB,27668206,2,460.7789,11730.27,60047,ok,
2026-05-08T23:28:00,pandas,join,20GB,27668206,3,448.858,11894.8,61641,ok,
2026-05-08T23:35:30,pandas,pipeline,20GB,27668206,1,224.7897,11686.11,123085,ok,
2026-05-08T23:39:22,pandas,pipeline,20GB,27668206,2,230.977,11896.56,119788,ok,
2026-05-08T23:44:11,pandas,pipeline,20GB,27668206,3,289.1851,11415.66,95676,ok,
