timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-05-09T17:00:18,polars_lazy,filter,10M_skewed,10000000,1,2.7247,3830.5,3670102,ok,
2026-05-09T17:00:21,polars_lazy,filter,10M_skewed,10000000,2,2.293,3780.73,4361167,ok,
2026-05-09T17:00:23,polars_lazy,filter,10M_skewed,10000000,3,2.2255,3980.8,4493382,ok,
2026-05-09T17:00:24,polars_lazy,groupby,10M_skewed,10000000,1,0.6421,1066.33,15574036,ok,
2026-05-09T17:00:25,polars_lazy,groupby,10M_skewed,10000000,2,0.6174,1248.81,16197440,ok,
2026-05-09T17:00:26,polars_lazy,groupby,10M_skewed,10000000,3,0.6115,1215.82,16354556,ok,
2026-05-09T17:00:40,polars_lazy,join,10M_skewed,10000000,1,7.3828,6156.96,1354502,ok,
2026-05-09T17:00:48,polars_lazy,join,10M_skewed,10000000,2,7.7528,6118.07,1289860,ok,
2026-05-09T17:00:56,polars_lazy,join,10M_skewed,10000000,3,7.5567,6077.93,1323331,ok,
2026-05-09T17:01:05,polars_lazy,pipeline,10M_skewed,10000000,1,4.3935,2248.34,2276084,ok,
2026-05-09T17:01:10,polars_lazy,pipeline,10M_skewed,10000000,2,5.7121,2203.96,1750663,ok,
2026-05-09T17:01:16,polars_lazy,pipeline,10M_skewed,10000000,3,5.2129,2289.48,1918335,ok,
2026-05-09T17:01:23,polars_lazy,filter,10M_highuid,10000000,1,3.2709,3843.78,3057240,ok,
2026-05-09T17:01:26,polars_lazy,filter,10M_highuid,10000000,2,3.2026,3917.47,3122459,ok,
2026-05-09T17:01:30,polars_lazy,filter,10M_highuid,10000000,3,3.6176,3872.38,2764264,ok,
2026-05-09T17:01:36,polars_lazy,groupby,10M_highuid,10000000,1,3.237,2947.12,3089289,ok,
2026-05-09T17:01:39,polars_lazy,groupby,10M_highuid,10000000,2,3.0797,3227.02,3247046,ok,
2026-05-09T17:01:43,polars_lazy,groupby,10M_highuid,10000000,3,4.0176,3266.83,2489017,ok,
2026-05-09T17:02:08,polars_lazy,join,10M_highuid,10000000,1,13.0658,6167.21,765360,ok,
2026-05-09T17:02:32,polars_lazy,join,10M_highuid,10000000,2,23.9419,6069.08,417678,ok,
2026-05-09T17:02:49,polars_lazy,join,10M_highuid,10000000,3,17.4041,6028.79,574579,ok,
2026-05-09T17:03:12,polars_lazy,pipeline,10M_highuid,10000000,1,12.2734,3577.28,814768,ok,
2026-05-09T17:03:22,polars_lazy,pipeline,10M_highuid,10000000,2,10.3501,3770.05,966174,ok,
2026-05-09T17:03:30,polars_lazy,pipeline,10M_highuid,10000000,3,8.4518,3809.35,1183183,ok,
2026-05-09T19:33:53,polars_lazy,filter,100M,100000000,1,79.1968,12083.11,1262677,ok,
2026-05-09T19:35:14,polars_lazy,filter,100M,100000000,2,80.7636,12204.66,1238182,ok,
2026-05-09T19:36:37,polars_lazy,filter,100M,100000000,3,83.3054,12064.61,1200403,ok,
2026-05-09T19:37:06,polars_lazy,groupby,100M,100000000,1,13.1265,3687.37,7618167,ok,
2026-05-09T19:37:18,polars_lazy,groupby,100M,100000000,2,12.3753,3285.98,8080601,ok,
2026-05-09T19:37:31,polars_lazy,groupby,100M,100000000,3,12.4835,3647.1,8010583,ok,
