timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-05-08T09:05:13,polars_lazy,filter,1M,1000000,1,0.4926,660.3,2029996,ok,
2026-05-08T09:05:13,polars_lazy,filter,1M,1000000,2,0.5131,648.8,1949035,ok,
2026-05-08T09:05:14,polars_lazy,filter,1M,1000000,3,0.4716,632.14,2120555,ok,
2026-05-08T09:05:16,polars_lazy,groupby,1M,1000000,1,0.6056,589.9,1651122,ok,
2026-05-08T09:05:16,polars_lazy,groupby,1M,1000000,2,0.6013,568.82,1663102,ok,
2026-05-08T09:05:17,polars_lazy,groupby,1M,1000000,3,0.6605,585.53,1513986,ok,
2026-05-08T09:05:20,polars_lazy,join,1M,1000000,1,0.7452,824.89,1341900,ok,
2026-05-08T09:05:21,polars_lazy,join,1M,1000000,2,0.746,860.02,1340566,ok,
2026-05-08T09:05:22,polars_lazy,join,1M,1000000,3,0.7011,863.44,1426378,ok,
2026-05-08T09:05:24,polars_lazy,pipeline,1M,1000000,1,1.1459,800.21,872662,ok,
2026-05-08T09:05:24,polars_lazy,pipeline,1M,1000000,2,0.6426,764.05,1556129,ok,
2026-05-08T09:05:25,polars_lazy,pipeline,1M,1000000,3,0.6439,670.23,1553131,ok,
2026-05-08T09:05:41,polars_lazy,filter,10M,10000000,1,5.8519,3311.2,1708833,ok,
2026-05-08T09:05:46,polars_lazy,filter,10M,10000000,2,4.4122,3324.53,2266466,ok,
2026-05-08T09:05:50,polars_lazy,filter,10M,10000000,3,4.9162,3323.04,2034078,ok,
2026-05-08T09:06:02,polars_lazy,groupby,10M,10000000,1,6.3952,2540.06,1563684,ok,
2026-05-08T09:06:08,polars_lazy,groupby,10M,10000000,2,5.5531,2472.36,1800783,ok,
2026-05-08T09:06:14,polars_lazy,groupby,10M,10000000,3,6.1293,2514.15,1631521,ok,
2026-05-08T09:06:27,polars_lazy,join,10M,10000000,1,6.4049,4528.38,1561305,ok,
2026-05-08T09:06:33,polars_lazy,join,10M,10000000,2,5.834,4546.88,1714098,ok,
2026-05-08T09:06:39,polars_lazy,join,10M,10000000,3,6.1555,4614.0,1624560,ok,
2026-05-08T09:06:49,polars_lazy,pipeline,10M,10000000,1,5.3495,2492.58,1869337,ok,
2026-05-08T09:06:53,polars_lazy,pipeline,10M,10000000,2,4.5892,2178.77,2179015,ok,
2026-05-08T09:06:58,polars_lazy,pipeline,10M,10000000,3,4.997,1660.91,2001200,ok,
