timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-05-08T09:09:20,polars_eager,filter,1M,1000000,1,0.8992,619.42,1112112,ok,
2026-05-08T09:09:21,polars_eager,filter,1M,1000000,2,0.7222,617.02,1384753,ok,
2026-05-08T09:09:21,polars_eager,filter,1M,1000000,3,0.4815,610.28,2076935,ok,
2026-05-08T09:09:23,polars_eager,groupby,1M,1000000,1,0.7003,683.13,1427996,ok,
2026-05-08T09:09:23,polars_eager,groupby,1M,1000000,2,0.7002,681.67,1428207,ok,
2026-05-08T09:09:24,polars_eager,groupby,1M,1000000,3,0.7189,720.91,1391088,ok,
2026-05-08T09:09:25,polars_eager,join,1M,1000000,1,0.5905,638.81,1693397,ok,
2026-05-08T09:09:26,polars_eager,join,1M,1000000,2,0.5791,637.79,1726881,ok,
2026-05-08T09:09:27,polars_eager,join,1M,1000000,3,0.5905,640.74,1693352,ok,
2026-05-08T09:09:28,polars_eager,pipeline,1M,1000000,1,0.776,747.42,1288666,ok,
2026-05-08T09:09:29,polars_eager,pipeline,1M,1000000,2,0.8312,739.68,1203046,ok,
2026-05-08T09:09:30,polars_eager,pipeline,1M,1000000,3,0.7722,732.08,1294980,ok,
2026-05-08T09:09:45,polars_eager,filter,10M,10000000,1,4.9867,4209.99,2005317,ok,
2026-05-08T09:09:49,polars_eager,filter,10M,10000000,2,4.239,4202.83,2359042,ok,
2026-05-08T09:09:54,polars_eager,filter,10M,10000000,3,4.2545,4120.76,2350476,ok,
2026-05-08T09:10:10,polars_eager,groupby,10M,10000000,1,7.7739,4979.71,1286356,ok,
2026-05-08T09:10:18,polars_eager,groupby,10M,10000000,2,7.0381,4957.23,1420848,ok,
2026-05-08T09:10:25,polars_eager,groupby,10M,10000000,3,7.671,4930.35,1303612,ok,
2026-05-08T09:10:37,polars_eager,join,10M,10000000,1,6.7899,3905.05,1472768,ok,
2026-05-08T09:10:42,polars_eager,join,10M,10000000,2,4.5259,3850.6,2209516,ok,
2026-05-08T09:10:47,polars_eager,join,10M,10000000,3,5.1897,3826.62,1926878,ok,
2026-05-08T09:11:02,polars_eager,pipeline,10M,10000000,1,7.485,5214.98,1336013,ok,
2026-05-08T09:11:09,polars_eager,pipeline,10M,10000000,2,7.1496,5262.93,1398683,ok,
2026-05-08T09:11:16,polars_eager,pipeline,10M,10000000,3,6.949,5234.24,1439064,ok,
