timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-05-08T02:21:25,polars_eager,filter,1M,1000000,1,0.3124,750.36,3201454,ok,
2026-05-08T02:21:25,polars_eager,filter,1M,1000000,2,0.3265,707.77,3062884,ok,
2026-05-08T02:21:26,polars_eager,filter,1M,1000000,3,0.3124,833.39,3200764,ok,
2026-05-08T02:21:27,polars_eager,groupby,1M,1000000,1,0.4343,840.35,2302654,ok,
2026-05-08T02:21:27,polars_eager,groupby,1M,1000000,2,0.4343,854.82,2302501,ok,
2026-05-08T02:21:28,polars_eager,groupby,1M,1000000,3,0.435,792.23,2298822,ok,
2026-05-08T02:21:30,polars_eager,join,1M,1000000,1,0.9384,2115.04,1065659,ok,
2026-05-08T02:21:31,polars_eager,join,1M,1000000,2,0.9279,2059.67,1077732,ok,
2026-05-08T02:21:31,polars_eager,join,1M,1000000,3,0.8551,2197.58,1169484,ok,
2026-05-08T02:21:34,polars_eager,pipeline,1M,1000000,1,1.037,1598.05,964318,ok,
2026-05-08T02:21:35,polars_eager,pipeline,1M,1000000,2,1.0576,1606.7,945559,ok,
2026-05-08T02:21:36,polars_eager,pipeline,1M,1000000,3,0.9994,1647.37,1000613,ok,
2026-05-08T02:21:39,polars_eager,filter,10M,10000000,1,1.7431,4448.43,5736808,ok,
2026-05-08T02:21:41,polars_eager,filter,10M,10000000,2,1.8787,4304.38,5322701,ok,
2026-05-08T02:21:43,polars_eager,filter,10M,10000000,3,1.7565,4518.7,5692990,ok,
2026-05-08T02:21:49,polars_eager,groupby,10M,10000000,1,3.0507,5195.79,3277891,ok,
2026-05-08T02:21:52,polars_eager,groupby,10M,10000000,2,2.9319,5422.21,3410763,ok,
2026-05-08T02:21:55,polars_eager,groupby,10M,10000000,3,2.8354,5435.06,3526870,ok,
2026-05-08T02:22:01,polars_eager,join,10M,10000000,1,3.177,5761.46,3147604,ok,
2026-05-08T02:22:05,polars_eager,join,10M,10000000,2,4.018,5617.15,2488773,ok,
2026-05-08T02:22:09,polars_eager,join,10M,10000000,3,4.2281,5539.91,2365152,ok,
2026-05-08T02:22:19,polars_eager,pipeline,10M,10000000,1,4.6794,5477.95,2137009,ok,
2026-05-08T02:22:24,polars_eager,pipeline,10M,10000000,2,5.0951,5483.78,1962660,ok,
2026-05-08T02:22:29,polars_eager,pipeline,10M,10000000,3,5.1559,5540.43,1939531,ok,
2026-05-08T11:39:29,polars_eager,filter,50M,50000000,1,51.2934,8251.79,974784,ok,
2026-05-08T11:40:23,polars_eager,filter,50M,50000000,2,53.3588,7866.36,937053,ok,
2026-05-08T11:41:19,polars_eager,filter,50M,50000000,3,54.9537,7680.21,909857,ok,
2026-05-08T11:43:50,polars_eager,groupby,50M,50000000,1,77.9602,8765.05,641353,ok,
2026-05-08T11:45:10,polars_eager,groupby,50M,50000000,2,79.3886,9465.58,629813,ok,
2026-05-08T11:46:32,polars_eager,groupby,50M,50000000,3,81.5851,8776.92,612857,ok,
2026-05-08T11:48:35,polars_eager,join,50M,50000000,1,58.5461,7696.93,854027,ok,
2026-05-08T11:49:26,polars_eager,join,50M,50000000,2,50.7394,7449.12,985427,ok,
2026-05-08T11:50:17,polars_eager,join,50M,50000000,3,50.9005,6154.69,982309,ok,
2026-05-08T11:53:05,polars_eager,pipeline,50M,50000000,1,83.9221,10844.81,595790,ok,
2026-05-08T11:54:41,polars_eager,pipeline,50M,50000000,2,95.8515,10484.79,521641,ok,
2026-05-08T11:56:10,polars_eager,pipeline,50M,50000000,3,88.8582,10378.54,562694,ok,
