timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-05-08T21:48:02,polars_eager,filter,5GB,6917051,1,1.1394,3229.79,6070574,ok,
2026-05-08T21:48:03,polars_eager,filter,5GB,6917051,2,1.212,3276.03,5707033,ok,
2026-05-08T21:48:04,polars_eager,filter,5GB,6917051,3,1.1084,3355.96,6240733,ok,
2026-05-08T21:48:08,polars_eager,groupby,5GB,6917051,1,1.7253,3691.4,4009203,ok,
2026-05-08T21:48:10,polars_eager,groupby,5GB,6917051,2,1.7492,3760.26,3954404,ok,
2026-05-08T21:48:11,polars_eager,groupby,5GB,6917051,3,1.7434,3789.89,3967637,ok,
2026-05-08T21:48:15,polars_eager,join,5GB,6917051,1,1.6697,4591.29,4142595,ok,
2026-05-08T21:48:17,polars_eager,join,5GB,6917051,2,1.8364,4504.38,3766592,ok,
2026-05-08T21:48:18,polars_eager,join,5GB,6917051,3,1.7477,4651.23,3957801,ok,
2026-05-08T21:48:23,polars_eager,pipeline,5GB,6917051,1,2.5498,4201.01,2712744,ok,
2026-05-08T21:48:26,polars_eager,pipeline,5GB,6917051,2,2.5497,4234.69,2712844,ok,
2026-05-08T21:48:29,polars_eager,pipeline,5GB,6917051,3,2.5291,4197.48,2735011,ok,
2026-05-08T21:48:34,polars_eager,filter,10GB,13834103,1,2.7147,6552.58,5095909,ok,
2026-05-08T21:48:37,polars_eager,filter,10GB,13834103,2,2.8513,6534.39,4851816,ok,
2026-05-08T21:48:40,polars_eager,filter,10GB,13834103,3,2.6941,6531.95,5135010,ok,
2026-05-08T21:48:48,polars_eager,groupby,10GB,13834103,1,3.9868,7637.71,3469954,ok,
2026-05-08T21:48:52,polars_eager,groupby,10GB,13834103,2,4.0535,7729.13,3412905,ok,
2026-05-08T21:48:56,polars_eager,groupby,10GB,13834103,3,4.1468,7904.01,3336130,ok,
2026-05-08T21:49:03,polars_eager,join,10GB,13834103,1,3.4515,7640.25,4008111,ok,
2026-05-08T21:49:07,polars_eager,join,10GB,13834103,2,3.3822,7759.43,4090291,ok,
2026-05-08T21:49:10,polars_eager,join,10GB,13834103,3,3.4495,7707.79,4010446,ok,
2026-05-08T21:49:20,polars_eager,pipeline,10GB,13834103,1,4.7545,8070.66,2909681,ok,
2026-05-08T21:49:25,polars_eager,pipeline,10GB,13834103,2,4.8971,8115.83,2824934,ok,
2026-05-08T21:49:30,polars_eager,pipeline,10GB,13834103,3,4.8137,8155.69,2873907,ok,
2026-05-08T21:49:48,polars_eager,filter,20GB,27668206,1,8.083,11541.43,3423002,ok,
2026-05-08T21:49:57,polars_eager,filter,20GB,27668206,2,9.2783,12212.23,2982029,ok,
2026-05-08T21:50:04,polars_eager,filter,20GB,27668206,3,6.6997,12365.05,4129749,ok,
2026-05-08T21:50:34,polars_eager,groupby,20GB,27668206,1,14.7686,11798.41,1873452,ok,
2026-05-08T21:50:49,polars_eager,groupby,20GB,27668206,2,14.5285,11750.63,1904406,ok,
2026-05-08T21:51:04,polars_eager,groupby,20GB,27668206,3,15.5882,11478.35,1774947,ok,
2026-05-08T21:51:27,polars_eager,join,20GB,27668206,1,11.7893,12333.76,2346896,ok,
2026-05-08T21:51:37,polars_eager,join,20GB,27668206,2,10.2545,12095.99,2698141,ok,
2026-05-08T21:51:49,polars_eager,join,20GB,27668206,3,11.3436,12682.21,2439112,ok,
2026-05-08T21:52:33,polars_eager,pipeline,20GB,27668206,1,22.7555,10213.74,1215892,ok,
2026-05-08T21:52:56,polars_eager,pipeline,20GB,27668206,2,22.8984,10340.05,1208303,ok,
2026-05-08T21:53:19,polars_eager,pipeline,20GB,27668206,3,23.3055,9818.2,1187195,ok,
