timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-05-08T02:18:30,polars_lazy,filter,1M,1000000,1,0.3741,670.1,2673379,ok,
2026-05-08T02:18:30,polars_lazy,filter,1M,1000000,2,0.3703,702.58,2700690,ok,
2026-05-08T02:18:30,polars_lazy,filter,1M,1000000,3,0.3684,692.4,2714447,ok,
2026-05-08T02:18:32,polars_lazy,groupby,1M,1000000,1,0.6302,1333.91,1586911,ok,
2026-05-08T02:18:32,polars_lazy,groupby,1M,1000000,2,0.6184,1431.5,1616959,ok,
2026-05-08T02:18:33,polars_lazy,groupby,1M,1000000,3,0.6227,1490.89,1605811,ok,
2026-05-08T02:18:41,polars_lazy,join,1M,1000000,1,4.2703,2307.12,234174,ok,
2026-05-08T02:18:46,polars_lazy,join,1M,1000000,2,4.5835,2290.42,218172,ok,
2026-05-08T02:18:53,polars_lazy,join,1M,1000000,3,7.0414,2188.33,142017,ok,
2026-05-08T02:19:02,polars_lazy,pipeline,1M,1000000,1,4.7931,2232.21,208634,ok,
2026-05-08T02:19:06,polars_lazy,pipeline,1M,1000000,2,4.2251,2270.68,236680,ok,
2026-05-08T02:19:11,polars_lazy,pipeline,1M,1000000,3,4.6613,2545.79,214531,ok,
2026-05-08T02:19:18,polars_lazy,filter,10M,10000000,1,3.5146,3395.89,2845259,ok,
2026-05-08T02:19:22,polars_lazy,filter,10M,10000000,2,3.5839,3382.32,2790254,ok,
2026-05-08T02:19:25,polars_lazy,filter,10M,10000000,3,3.8004,3417.55,2631287,ok,
2026-05-08T02:19:34,polars_lazy,groupby,10M,10000000,1,4.1401,5164.44,2415411,ok,
2026-05-08T02:19:38,polars_lazy,groupby,10M,10000000,2,4.4302,4972.37,2257221,ok,
2026-05-08T02:19:43,polars_lazy,groupby,10M,10000000,3,4.2456,4630.92,2355381,ok,
2026-05-08T02:20:04,polars_lazy,join,10M,10000000,1,10.7274,5426.38,932190,ok,
2026-05-08T02:20:14,polars_lazy,join,10M,10000000,2,10.1405,5427.14,986148,ok,
2026-05-08T02:20:24,polars_lazy,join,10M,10000000,3,9.9936,5522.69,1000642,ok,
2026-05-08T02:20:40,polars_lazy,pipeline,10M,10000000,1,8.0041,6049.93,1249360,ok,
2026-05-08T02:20:48,polars_lazy,pipeline,10M,10000000,2,7.787,5866.05,1284192,ok,
2026-05-08T02:20:55,polars_lazy,pipeline,10M,10000000,3,7.5679,5851.38,1321376,ok,
2026-05-08T11:23:33,polars_lazy,filter,50M,50000000,1,29.2131,12262.05,1711559,ok,
2026-05-08T11:24:04,polars_lazy,filter,50M,50000000,2,30.7976,12645.55,1623504,ok,
2026-05-08T11:24:36,polars_lazy,filter,50M,50000000,3,31.7713,12421.69,1573746,ok,
2026-05-08T11:25:17,polars_lazy,groupby,50M,50000000,1,18.2758,12206.95,2735866,ok,
2026-05-08T11:25:35,polars_lazy,groupby,50M,50000000,2,18.6468,12205.02,2681419,ok,
2026-05-08T11:25:55,polars_lazy,groupby,50M,50000000,3,19.3653,12176.8,2581941,ok,
2026-05-08T11:29:00,polars_lazy,join,50M,50000000,1,92.2218,12185.6,542171,ok,
2026-05-08T11:30:32,polars_lazy,join,50M,50000000,2,91.1717,12145.69,548416,ok,
2026-05-08T11:32:11,polars_lazy,join,50M,50000000,3,98.9943,11661.79,505080,ok,
2026-05-08T11:32:58,polars_lazy,pipeline,50M,50000000,1,21.279,11945.69,2349736,ok,
2026-05-08T11:33:19,polars_lazy,pipeline,50M,50000000,2,21.2472,11897.01,2353246,ok,
2026-05-08T11:33:40,polars_lazy,pipeline,50M,50000000,3,20.9835,12438.25,2382820,ok,
