timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-04-12T01:58:37,polars_lazy,filter,1M,1000000,1,0.1509,320.07,6628882,ok,
2026-04-12T01:58:37,polars_lazy,filter,1M,1000000,2,0.1375,319.64,7272526,ok,
2026-04-12T01:58:37,polars_lazy,filter,1M,1000000,3,0.1493,336.11,6696506,ok,
2026-04-12T01:58:38,polars_lazy,groupby,1M,1000000,1,0.4052,837.93,2467951,ok,
2026-04-12T01:58:38,polars_lazy,groupby,1M,1000000,2,0.412,801.88,2427139,ok,
2026-04-12T01:58:39,polars_lazy,groupby,1M,1000000,3,0.4145,850.52,2412282,ok,
2026-04-12T01:58:39,polars_lazy,join,1M,1000000,1,0.2904,542.0,3444046,ok,
2026-04-12T01:58:40,polars_lazy,join,1M,1000000,2,0.3618,464.19,2764316,ok,
2026-04-12T01:58:40,polars_lazy,join,1M,1000000,3,0.4628,481.45,2160753,ok,
2026-04-12T01:58:42,polars_lazy,pipeline,1M,1000000,1,0.5239,723.89,1908606,ok,
2026-04-12T01:58:42,polars_lazy,pipeline,1M,1000000,2,0.7022,933.86,1424123,ok,
2026-04-12T01:58:43,polars_lazy,pipeline,1M,1000000,3,0.5446,882.27,1836247,ok,
