timestamp,framework,workload,dataset_size,n_rows,run_index,time_s,peak_memory_mb,throughput_rows_per_s,status,notes
2026-05-08T21:41:14,polars_lazy,filter,5GB,6917051,1,2.9468,2858.27,2347341,ok,
2026-05-08T21:41:17,polars_lazy,filter,5GB,6917051,2,2.9455,2801.55,2348334,ok,
2026-05-08T21:41:19,polars_lazy,filter,5GB,6917051,3,2.0126,2737.94,3436801,ok,
2026-05-08T21:41:23,polars_lazy,groupby,5GB,6917051,1,2.0263,2498.39,3413700,ok,
2026-05-08T21:41:26,polars_lazy,groupby,5GB,6917051,2,2.0992,2570.65,3295151,ok,
2026-05-08T21:41:28,polars_lazy,groupby,5GB,6917051,3,2.0426,2849.42,3386437,ok,
2026-05-08T21:41:40,polars_lazy,join,5GB,6917051,1,6.2588,4681.01,1105174,ok,
2026-05-08T21:41:46,polars_lazy,join,5GB,6917051,2,6.3233,4660.23,1093894,ok,
2026-05-08T21:41:53,polars_lazy,join,5GB,6917051,3,6.3241,4732.65,1093762,ok,
2026-05-08T21:42:04,polars_lazy,pipeline,5GB,6917051,1,5.4891,3515.24,1260148,ok,
2026-05-08T21:42:09,polars_lazy,pipeline,5GB,6917051,2,5.3832,3530.37,1284941,ok,
2026-05-08T21:42:14,polars_lazy,pipeline,5GB,6917051,3,5.4304,3532.59,1273754,ok,
2026-05-08T21:42:23,polars_lazy,filter,10GB,13834103,1,3.6314,5154.73,3809594,ok,
2026-05-08T21:42:26,polars_lazy,filter,10GB,13834103,2,3.5223,5117.78,3927603,ok,
2026-05-08T21:42:30,polars_lazy,filter,10GB,13834103,3,3.7146,5176.39,3724238,ok,
2026-05-08T21:42:36,polars_lazy,groupby,10GB,13834103,1,2.9778,3645.0,4645771,ok,
2026-05-08T21:42:39,polars_lazy,groupby,10GB,13834103,2,3.0536,3490.73,4530479,ok,
2026-05-08T21:42:42,polars_lazy,groupby,10GB,13834103,3,3.0956,3827.1,4468973,ok,
2026-05-08T21:43:01,polars_lazy,join,10GB,13834103,1,9.4794,7951.62,1459388,ok,
2026-05-08T21:43:10,polars_lazy,join,10GB,13834103,2,9.5162,8007.62,1453740,ok,
2026-05-08T21:43:20,polars_lazy,join,10GB,13834103,3,9.3313,7975.39,1482540,ok,
2026-05-08T21:43:33,polars_lazy,pipeline,10GB,13834103,1,6.5071,4224.38,2126013,ok,
2026-05-08T21:43:39,polars_lazy,pipeline,10GB,13834103,2,6.4292,4324.11,2151768,ok,
2026-05-08T21:43:46,polars_lazy,pipeline,10GB,13834103,3,6.4151,4325.57,2156498,ok,
2026-05-08T21:44:04,polars_lazy,filter,20GB,27668206,1,8.4085,9758.23,3290507,ok,
2026-05-08T21:44:12,polars_lazy,filter,20GB,27668206,2,8.2463,9727.37,3355236,ok,
2026-05-08T21:44:21,polars_lazy,filter,20GB,27668206,3,8.2088,9777.8,3370563,ok,
2026-05-08T21:44:31,polars_lazy,groupby,20GB,27668206,1,4.8302,3806.37,5728146,ok,
2026-05-08T21:44:36,polars_lazy,groupby,20GB,27668206,2,5.0355,3565.44,5494589,ok,
2026-05-08T21:44:41,polars_lazy,groupby,20GB,27668206,3,4.8069,3511.98,5755975,ok,
2026-05-08T21:45:39,polars_lazy,join,20GB,27668206,1,28.0693,9843.96,985709,ok,
2026-05-08T21:46:08,polars_lazy,join,20GB,27668206,2,29.2324,10841.88,946492,ok,
2026-05-08T21:46:38,polars_lazy,join,20GB,27668206,3,28.9977,11251.56,954151,ok,
2026-05-08T21:46:56,polars_lazy,pipeline,20GB,27668206,1,8.9373,4732.31,3095803,ok,
2026-05-08T21:47:04,polars_lazy,pipeline,20GB,27668206,2,8.114,4719.5,3409931,ok,
2026-05-08T21:47:13,polars_lazy,pipeline,20GB,27668206,3,8.2769,4720.82,3342842,ok,
