framework,workload,dataset_size,dataset_size_gb,mean_peak_memory_gb,memory_per_input_gb
polars_lazy,filter,5GB,5.0,2.7336458333333336,0.5467291666666667
polars_eager,filter,5GB,5.0,3.21021484375,0.64204296875
dask,filter,5GB,5.0,4.689274088541667,0.9378548177083333
pandas,filter,5GB,5.0,4.745091145833333,0.9490182291666667
polars_lazy,filter,10GB,10.0,5.028938802083333,0.5028938802083334
polars_eager,filter,10GB,10.0,6.386367187499999,0.6386367187499999
pandas,filter,10GB,10.0,8.587985026041666,0.8587985026041667
dask,filter,10GB,10.0,9.262041015625,0.9262041015625
polars_lazy,filter,20GB,20.0,9.525846354166667,0.47629231770833336
dask,filter,20GB,20.0,11.249768880208334,0.5624884440104168
pandas,filter,20GB,20.0,11.604287109375,0.58021435546875
polars_eager,filter,20GB,20.0,11.757392578125,0.5878696289062499
dask,groupby,5GB,5.0,2.307451171875,0.461490234375
polars_lazy,groupby,5GB,5.0,2.5776236979166667,0.5155247395833333
polars_eager,groupby,5GB,5.0,3.659358723958333,0.7318717447916666
pandas,groupby,5GB,5.0,4.627672526041667,0.9255345052083334
polars_lazy,groupby,10GB,10.0,3.5686295572916666,0.35686295572916665
dask,groupby,10GB,10.0,4.140540364583333,0.4140540364583333
polars_eager,groupby,10GB,10.0,7.575146484375,0.7575146484374999
pandas,groupby,10GB,10.0,8.437080078125,0.8437080078125
polars_lazy,groupby,20GB,20.0,3.5429003906250003,0.17714501953125
dask,groupby,20GB,20.0,5.384654947916666,0.2692327473958333
polars_eager,groupby,20GB,20.0,11.402145182291667,0.5701072591145834
pandas,groupby,20GB,20.0,11.606546223958333,0.5803273111979166
polars_eager,join,5GB,5.0,4.47490234375,0.89498046875
polars_lazy,join,5GB,5.0,4.581344401041666,0.9162688802083332
pandas,join,5GB,5.0,6.278004557291666,1.2556009114583333
dask,join,5GB,5.0,10.745940755208332,2.1491881510416664
polars_eager,join,10GB,10.0,7.521962890625001,0.7521962890625
polars_lazy,join,10GB,10.0,7.791220703125,0.7791220703125
dask,join,10GB,10.0,9.563616536458333,0.9563616536458334
pandas,join,10GB,10.0,10.862063802083334,1.0862063802083335
polars_lazy,join,20GB,20.0,10.3962890625,0.519814453125
dask,join,20GB,20.0,11.210113932291668,0.5605056966145834
pandas,join,20GB,20.0,11.635970052083332,0.5817985026041665
polars_eager,join,20GB,20.0,12.080716145833334,0.6040358072916667
polars_lazy,pipeline,5GB,5.0,3.443424479166667,0.6886848958333334
dask,pipeline,5GB,5.0,3.794287109375,0.7588574218749999
polars_eager,pipeline,5GB,5.0,4.11236328125,0.8224726562500001
pandas,pipeline,5GB,5.0,5.6244889322916665,1.1248977864583334
dask,pipeline,10GB,10.0,3.7681119791666666,0.3768111979166667
polars_lazy,pipeline,10GB,10.0,4.1907747395833335,0.41907747395833334
polars_eager,pipeline,10GB,10.0,7.92388671875,0.7923886718750001
pandas,pipeline,10GB,10.0,9.304075520833335,0.9304075520833335
dask,pipeline,20GB,20.0,4.355950520833333,0.21779752604166663
polars_lazy,pipeline,20GB,20.0,4.613486328125,0.23067431640625
polars_eager,pipeline,20GB,20.0,9.886715494791666,0.4943357747395833
pandas,pipeline,20GB,20.0,11.392685546875,0.56963427734375
