framework,workload,5GB,10GB,20GB
pandas,filter,1.0,1.809867242188336,2.445535133622192
pandas,groupby,1.0,1.823180017740312,2.508074233568581
pandas,join,1.0,1.7301777504234932,1.8534503990712448
pandas,pipeline,1.0,1.6542081659039627,2.0255503538226565
polars_lazy,filter,1.0,1.8396453339938268,3.4846673398620585
polars_lazy,groupby,1.0,1.3844649085807088,1.374483169707241
polars_lazy,join,1.0,1.7006406899584978,2.2692659953999925
polars_lazy,pipeline,1.0,1.2170369249966912,1.339795995537993
polars_eager,filter,1.0,1.9893893394498758,3.662493991956827
polars_eager,groupby,1.0,2.0700748562253426,3.1158861544893726
polars_eager,join,1.0,1.6809222442878031,2.6996602870465343
polars_eager,pipeline,1.0,1.9268450223934115,2.40414448302011
dask,filter,1.0,1.975154542204513,2.399042723413708
dask,groupby,1.0,1.7944216610307695,2.3335943198057696
dask,join,1.0,0.8899748057724075,1.043195210885409
dask,pipeline,1.0,0.993101436593014,1.1480287061225714
