workload,dataset_size,framework,mean_peak_memory_gb,std_peak_memory_gb,memory_rank
filter,5GB,polars_lazy,2.7336458333333336,0.05878697983272799,1.0
filter,5GB,polars_eager,3.21021484375,0.06233423681505385,2.0
filter,5GB,dask,4.689274088541667,0.07656328805530845,3.0
filter,5GB,pandas,4.745091145833333,0.03599916469523216,4.0
filter,10GB,polars_lazy,5.028938802083333,0.02894095377294416,1.0
filter,10GB,polars_eager,6.386367187499999,0.011008380645103816,2.0
filter,10GB,pandas,8.587985026041666,0.12831415879480637,3.0
filter,10GB,dask,9.262041015625,0.36950444014156647,4.0
filter,20GB,polars_lazy,9.525846354166667,0.02482886358226411,1.0
filter,20GB,dask,11.249768880208334,0.885157702578065,2.0
filter,20GB,pandas,11.604287109375,0.18432524135733672,3.0
filter,20GB,polars_eager,11.757392578125,0.4278481615025908,4.0
groupby,5GB,dask,2.307451171875,0.019072320628440918,1.0
groupby,5GB,polars_lazy,2.5776236979166667,0.18101839259082658,2.0
groupby,5GB,polars_eager,3.659358723958333,0.049346075478714266,3.0
groupby,5GB,pandas,4.627672526041667,0.01768556934329274,4.0
groupby,10GB,polars_lazy,3.5686295572916666,0.1644304393304591,1.0
groupby,10GB,dask,4.140540364583333,0.051765490229974835,2.0
groupby,10GB,polars_eager,7.575146484375,0.13214080346474238,3.0
groupby,10GB,pandas,8.437080078125,0.07570602805099513,4.0
groupby,20GB,polars_lazy,3.5429003906250003,0.15315264425059205,1.0
groupby,20GB,dask,5.384654947916666,0.38182538577538777,2.0
groupby,20GB,polars_eager,11.402145182291667,0.16860803844676447,3.0
groupby,20GB,pandas,11.606546223958333,0.08901688613431323,4.0
join,5GB,polars_eager,4.47490234375,0.07210606923900235,1.0
join,5GB,polars_lazy,4.581344401041666,0.036415775128122316,2.0
join,5GB,pandas,6.278004557291666,0.10354769934126618,3.0
join,5GB,dask,10.745940755208332,0.27380025904522276,4.0
join,10GB,polars_eager,7.521962890625001,0.058365731461267625,1.0
join,10GB,polars_lazy,7.791220703125,0.02744756207366768,2.0
join,10GB,dask,9.563616536458333,0.21460032937106663,3.0
join,10GB,pandas,10.862063802083334,0.10858897963916178,4.0
join,20GB,polars_lazy,10.3962890625,0.7070271797189476,1.0
join,20GB,dask,11.210113932291668,0.6756468383713201,2.0
join,20GB,pandas,11.635970052083332,0.1913872490203442,3.0
join,20GB,polars_eager,12.080716145833334,0.28793579017810966,4.0
pipeline,5GB,polars_lazy,3.443424479166667,0.009220355050400997,1.0
pipeline,5GB,dask,3.794287109375,0.13717301311774682,2.0
pipeline,5GB,polars_eager,4.11236328125,0.020058743514381167,3.0
pipeline,5GB,pandas,5.6244889322916665,0.02548352583252527,4.0
pipeline,10GB,dask,3.7681119791666666,0.5068962668752456,1.0
pipeline,10GB,polars_lazy,4.1907747395833335,0.05664570486155375,2.0
pipeline,10GB,polars_eager,7.92388671875,0.041545531745764544,3.0
pipeline,10GB,pandas,9.304075520833335,0.06739833404602597,4.0
pipeline,20GB,dask,4.355950520833333,0.41575921211580796,1.0
pipeline,20GB,polars_lazy,4.613486328125,0.006880650365829864,2.0
pipeline,20GB,polars_eager,9.886715494791666,0.2658730729115001,3.0
pipeline,20GB,pandas,11.392685546875,0.23542287418879754,4.0
