workload,dataset_size,pandas,polars_lazy,polars_eager,dask
filter,5GB,1.0,0.5760997522110295,0.6765338631206044,0.988236884060556
filter,10GB,1.0,0.5855784315917989,0.7436397674348967,1.0784882586007507
filter,20GB,1.0,0.8208902679140729,1.013193871136324,0.9694493745436327
groupby,5GB,1.0,0.5570021827195856,0.79075576401868,0.4986202370392671
groupby,10GB,1.0,0.4229697388488856,0.8978398230467488,0.49075513403251936
groupby,20GB,1.0,0.3052501857367108,0.9823891588658185,0.4639325811499045
join,5GB,1.0,0.7297453130582084,0.7127905535768637,1.7116809421119847
join,10GB,1.0,0.7172873263394615,0.692498500071625,0.8804603536414545
join,20GB,1.0,0.8934613114304658,1.038221660227664,0.9634017518191001
pipeline,5GB,1.0,0.6122199760047644,0.731153235565963,0.6746012224490304
pipeline,10GB,1.0,0.450423551507026,0.8516576097224418,0.4049958505527231
pipeline,20GB,1.0,0.40495160769099553,0.8678125499130958,0.38234624337789824
