framework,workload,5GB,10GB,20GB
pandas,filter,1.0,2.096268084640376,14.336008663592226
pandas,groupby,1.0,2.099824200021309,9.055501296302873
pandas,join,1.0,1.9237414375108217,19.35061023162902
pandas,pipeline,1.0,1.932112948761129,13.136417740425225
polars_lazy,filter,1.0,1.3748814026742906,3.1453402320079946
polars_lazy,groupby,1.0,1.4797101214312347,2.378787633144728
polars_lazy,join,1.0,1.4982862764595746,4.564608435328093
polars_lazy,pipeline,1.0,1.187005833389561,1.5536199525232017
polars_eager,filter,1.0,2.387450141626684,6.9544482340019655
polars_eager,groupby,1.0,2.3356331091051956,8.60217712106403
polars_eager,join,1.0,1.957288058167422,6.354905021127565
polars_eager,pipeline,1.0,1.8961932726843715,9.03958786671211
dask,filter,1.0,2.083961693399637,6.619840930218833
dask,groupby,1.0,1.7787931897846772,3.52941912869304
dask,join,1.0,4.290695244023791,8.24044556322445
dask,pipeline,1.0,1.1708627230508297,1.1447777247594884
