framework,workload,runtime_scaling_slope,r_squared,n_points,min_size_gb,max_size_gb
polars_lazy,filter,0.8266080410613441,0.9382493323186,3,5.0,20.0
dask,filter,1.3633982752880236,0.9836906159237309,3,5.0,20.0
polars_eager,filter,1.3989680279339516,0.9965051309323032,3,5.0,20.0
pandas,filter,1.9207857546254126,0.9383216787786126,3,5.0,20.0
polars_lazy,groupby,0.6251132402773524,0.9969589637669979,3,5.0,20.0
dask,groupby,0.9097153822424504,0.9975041543201468,3,5.0,20.0
polars_eager,groupby,1.5523509185272344,0.9852893465643707,3,5.0,20.0
pandas,groupby,1.5893972541974264,0.9656609263239785,3,5.0,20.0
polars_lazy,join,1.0952455535834602,0.9321184385417757,3,5.0,20.0
polars_eager,join,1.3339352816102203,0.9756402360826035,3,5.0,20.0
dask,join,1.52136117322339,0.9538140868466745,3,5.0,20.0
pandas,join,2.1371535790590963,0.905870050917241,3,5.0,20.0
dask,pipeline,0.09753375264710211,0.627931476149197,3,5.0,20.0
polars_lazy,pipeline,0.3178168169736958,0.9838670469059397,3,5.0,20.0
polars_eager,pipeline,1.5881284993620142,0.9447782694361109,3,5.0,20.0
pandas,pipeline,1.8577500029023,0.9263079870153526,3,5.0,20.0
