framework,workload,dataset_size,dataset_size_gb,mean_time_s,std_time_s,runtime_cv,mean_peak_memory_gb,std_peak_memory_gb,memory_cv,n_runs
polars_lazy,filter,5GB,5.0,2.6349666666666667,0.5389857357419893,0.20455125393439105,2.7336458333333336,0.05878697983272799,0.021504972998292446,3
polars_eager,filter,5GB,5.0,1.1532666666666667,0.053173803073819435,0.046107118683582374,3.21021484375,0.06233423681505385,0.01941746576133775,3
dask,filter,5GB,5.0,2.2589666666666663,0.014819356711184707,0.00656023700121798,4.689274088541667,0.07656328805530845,0.016327322013953576,3
pandas,filter,5GB,5.0,13.697166666666666,0.007322112627740444,0.0005345713318623398,4.745091145833333,0.03599916469523216,0.007586611845558128,3
polars_eager,filter,10GB,10.0,2.753366666666667,0.08543590189922111,0.031029612922078825,6.386367187499999,0.011008380645103816,0.001723731242176375,3
polars_lazy,filter,10GB,10.0,3.6227666666666667,0.09644025784563898,0.026620609804377585,5.028938802083333,0.02894095377294416,0.005754882871303747,3
dask,filter,10GB,10.0,4.7076,0.08208184939436981,0.017436028845774876,9.262041015625,0.36950444014156647,0.03989449404491029,3
pandas,filter,10GB,10.0,28.712933333333336,0.10299754042370775,0.0035871479666668587,8.587985026041666,0.12831415879480637,0.01494112511907212,3
polars_eager,filter,20GB,20.0,8.020333333333333,1.290441716364336,0.16089626985964872,11.757392578125,0.4278481615025908,0.03638971469733994,3
dask,filter,20GB,20.0,14.954,0.645718855230355,0.043180343401789154,11.249768880208334,0.885157702578065,0.07868230112134293,3
pandas,filter,20GB,20.0,196.3627,5.759176042629719,0.029329277111333873,11.604287109375,0.18432524135733672,0.01588423654292576,3
polars_lazy,filter,20GB,20.0,8.287866666666666,0.10614077130553332,0.012806766273451953,9.525846354166667,0.02482886358226411,0.0026064732370372325,3
polars_lazy,groupby,5GB,5.0,2.0560333333333336,0.03826151242872312,0.018609383324876272,2.5776236979166667,0.18101839259082658,0.07022684992271468,3
dask,groupby,5GB,5.0,1.0650666666666666,0.013428824718989263,0.012608435827794126,2.307451171875,0.019072320628440918,0.008265535956257328,3
polars_eager,groupby,5GB,5.0,1.7393,0.0124663547198049,0.007167455137011959,3.659358723958333,0.049346075478714266,0.013484897000023149,3
pandas,groupby,5GB,5.0,15.017066666666667,0.08246558878303983,0.005491457860148442,4.627672526041667,0.01768556934329274,0.0038216985414956093,3
polars_eager,groupby,10GB,10.0,4.062366666666667,0.08036767592342886,0.019783461838360772,7.575146484375,0.13214080346474238,0.01744399316070056,3
polars_lazy,groupby,10GB,10.0,3.042333333333333,0.05970270792295236,0.019623986388611493,3.5686295572916666,0.1644304393304591,0.04607663437480745,3
pandas,groupby,10GB,10.0,31.533200000000004,0.3086860703044446,0.00978924023900031,8.437080078125,0.07570602805099513,0.008973012861082093,3
dask,groupby,10GB,10.0,1.8945333333333334,0.013211484902664522,0.006973477146173827,4.140540364583333,0.051765490229974835,0.012502109790489642,3
polars_eager,groupby,20GB,20.0,14.961766666666668,0.5556312116263208,0.03713673819444144,11.402145182291667,0.16860803844676447,0.01478739620932249,3
