framework,workload,dataset_size,mean_time_s,std_time_s,mean_peak_memory_mb,std_peak_memory_mb,mean_throughput_rows_per_s,std_throughput_rows_per_s,mean_n_rows,dataset_size_gb,n_runs,mean_peak_memory_gb,std_peak_memory_gb,mean_throughput_mrows_per_s,memory_per_input_gb,runtime_cv,memory_cv
pandas,filter,5GB,13.697166666666666,0.007322112627740444,4858.973333333333,36.86314464791773,504998.0,270.1407040784487,6917051.0,5.0,3,4.745091145833333,0.03599916469523216,0.504998,0.9490182291666667,0.0005345713318623398,0.007586611845558128
polars_lazy,filter,5GB,2.6349666666666667,0.5389857357419893,2799.2533333333336,60.19786734871346,2710825.3333333335,628713.5659076661,6917051.0,5.0,3,2.7336458333333336,0.05878697983272799,2.7108253333333336,0.5467291666666667,0.20455125393439105,0.021504972998292446
polars_eager,filter,5GB,1.1532666666666667,0.053173803073819435,3287.26,63.830258498615144,6006113.333333333,272626.6781889355,6917051.0,5.0,3,3.21021484375,0.06233423681505385,6.006113333333333,0.64204296875,0.046107118683582374,0.01941746576133775
dask,filter,5GB,2.2589666666666663,0.014819356711184707,4801.816666666667,78.40080696863585,3062173.6666666665,20013.623493344083,6917051.0,5.0,3,4.689274088541667,0.07656328805530845,3.0621736666666663,0.9378548177083333,0.00656023700121798,0.016327322013953576
pandas,groupby,5GB,15.017066666666667,0.08246558878303983,4738.736666666667,18.110023007531765,460622.3333333333,2525.1151128876018,6917051.0,5.0,3,4.627672526041667,0.01768556934329274,0.4606223333333333,0.9255345052083334,0.005491457860148442,0.0038216985414956093
polars_lazy,groupby,5GB,2.0560333333333336,0.03826151242872312,2639.4866666666667,185.36283401300642,3365096.0,62089.00918036944,6917051.0,5.0,3,2.5776236979166667,0.18101839259082658,3.365096,0.5155247395833333,0.018609383324876272,0.07022684992271468
polars_eager,groupby,5GB,1.7393,0.0124663547198049,3747.183333333333,50.53038129020341,3977081.3333333335,28594.2157495766,6917051.0,5.0,3,3.659358723958333,0.049346075478714266,3.9770813333333335,0.7318717447916666,0.007167455137011959,0.013484897000023149
dask,groupby,5GB,1.0650666666666666,0.013428824718989263,2362.83,19.5300563235235,6495157.666666667,81225.87273358976,6917051.0,5.0,3,2.307451171875,0.019072320628440918,6.495157666666667,0.461490234375,0.012608435827794126,0.008265535956257328
pandas,join,5GB,23.29443333333333,0.1594325667275475,6428.676666666666,106.03284412545656,296949.3333333333,2026.7314408508487,6917051.0,5.0,3,6.278004557291666,0.10354769934126618,0.2969493333333333,1.2556009114583333,0.006844234605158064,0.01649372796663542
polars_lazy,join,5GB,6.302066666666666,0.03747216744909877,4691.296666666666,37.28975373119725,1097610.0,6550.948633594985,6917051.0,5.0,3,4.581344401041666,0.036415775128122316,1.09761,0.9162688802083332,0.005946012543361243,0.007948709361348694
polars_eager,join,5GB,1.7512666666666667,0.08340721391662317,4582.3,73.83661490073841,3955662.6666666665,188010.6203232502,6917051.0,5.0,3,4.47490234375,0.07210606923900235,3.9556626666666665,0.89498046875,0.047626792369307835,0.016113439735665147
