workload,dataset_size,polars_lazy,polars_eager,lazy_memory_ratio,lower_memory_mode
filter,1M,688.36,763.84,0.9011834939254294,Lazy
filter,10M,3398.5866666666666,4423.836666666667,0.7682441560907537,Lazy
filter,50M,12443.096666666666,7932.786666666667,1.5685656490615318,Eager
groupby,1M,1418.7666666666667,829.1333333333333,1.7111441665996623,Eager
groupby,10M,4922.576666666667,5351.02,0.9199323991812153,Lazy
groupby,50M,12196.256666666668,9002.516666666666,1.354760798369345,Eager
join,1M,2261.9566666666665,2124.096666666667,1.0649028842064625,Eager
join,10M,5458.736666666667,5639.506666666667,0.9679457777630667,Similar
join,50M,11997.693333333335,7100.246666666666,1.6897572572596073,Eager
pipeline,1M,2349.56,1617.3733333333332,1.4527010873597521,Eager
pipeline,10M,5922.453333333334,5500.72,1.0766687512422617,Eager
pipeline,50M,12093.65,10569.38,1.144215649356916,Eager
