workload,dataset_size,polars_lazy,polars_eager,lazy_speedup,faster_mode
filter,1M,0.37093333333333334,0.3171,0.8548705966930266,Eager
filter,10M,3.6329666666666665,1.7927666666666668,0.4934718182568884,Eager
filter,50M,30.593999999999998,53.201966666666664,1.7389673356431545,Lazy
groupby,1M,0.6237666666666667,0.4345333333333334,0.6966280126115535,Eager
groupby,10M,4.271966666666667,2.9393333333333334,0.6880515609516304,Eager
groupby,50M,18.762633333333333,79.64463333333333,4.2448536896917455,Lazy
join,1M,5.2984,0.9071333333333333,0.17120891841562233,Eager
join,10M,10.287166666666666,3.8077,0.3701407903050727,Eager
join,50M,94.12926666666665,53.39533333333333,0.5672553842623513,Eager
pipeline,1M,4.559833333333334,1.0313333333333332,0.22617785737782808,Eager
pipeline,10M,7.786333333333332,4.9768,0.6391711973971489,Eager
pipeline,50M,21.1699,89.54393333333333,4.229775923992713,Lazy
