workload,dataset_size,framework_group,mean_runtime,std_runtime,mean_memory,std_memory,mean_throughput,n_runs
filter,1M,polars_lazy,0.37093333333333334,0.002902297940138673,688.36,16.612609668562012,2696172.0,3
filter,1M,polars_eager,0.3171,0.00814063879557372,763.84,63.88567053729653,3155034.0,3
filter,10M,polars_lazy,3.6329666666666665,0.14908408142163712,3398.5866666666666,17.769137101540316,2755600.0,3
filter,10M,polars_eager,1.7927666666666668,0.07472143824454486,4423.836666666667,109.25607366793527,5584166.333333333,3
filter,50M,polars_lazy,30.593999999999998,1.291195775240919,12443.096666666666,192.64409291056216,1636269.6666666667,3
filter,50M,polars_eager,53.201966666666664,1.8351829727123512,7932.786666666667,291.5223844464328,940564.6666666666,3
groupby,1M,polars_lazy,0.6237666666666667,0.005971878543082862,1418.7666666666667,79.26085687988332,1603227.0,3
groupby,1M,polars_eager,0.4345333333333334,0.00040414518843273357,829.1333333333333,32.7679299519108,2301325.6666666665,3
groupby,10M,polars_lazy,4.271966666666667,0.14683631476352632,4922.576666666667,270.2229258100306,2342671.0,3
groupby,10M,polars_eager,2.9393333333333334,0.10784230771516952,5351.02,134.58657176702295,3405174.6666666665,3
groupby,50M,polars_lazy,18.762633333333333,0.5539093638252862,12196.256666666668,16.877577827797158,2666408.6666666665,3
groupby,50M,polars_eager,79.64463333333333,1.8259627058988197,9002.516666666666,401.0685256079485,628007.6666666666,3
join,1M,polars_lazy,5.2984,1.5175837077406968,2261.9566666666665,64.30697499753295,198121.0,3
join,1M,polars_eager,0.9071333333333333,0.04536698505888759,2124.096666666667,69.39963568588323,1104291.6666666667,3
join,10M,polars_lazy,10.287166666666666,0.38826401241079866,5458.736666666667,55.38651490510388,972993.3333333334,3
join,10M,polars_eager,3.8077,0.5562125223329658,5639.506666666667,112.45428419288196,2667176.3333333335,3
join,50M,polars_lazy,94.12926666666665,4.245832015439764,11997.693333333335,291.5844458014407,531889.0,3
join,50M,polars_eager,53.39533333333333,4.46142199789858,7100.246666666666,828.1971422513683,940587.6666666666,3
pipeline,1M,polars_lazy,4.559833333333334,0.29728372530855635,2349.56,171.02527561737776,219948.33333333334,3
pipeline,1M,polars_eager,1.0313333333333332,0.02951090194035644,1617.3733333333332,26.33544443014646,970163.3333333334,3
pipeline,10M,polars_lazy,7.786333333333332,0.218100764174116,5922.453333333334,110.6414372345789,1284976.0,3
pipeline,10M,polars_eager,4.9768,0.25934384511686437,5500.72,34.513190232141845,2013066.6666666667,3
pipeline,50M,polars_lazy,21.1699,0.16220829201986128,12093.65,299.42328833943435,2361934.0,3
pipeline,50M,polars_eager,89.54393333333333,5.994190416005599,10569.38,244.37374920395848,560041.6666666666,3
