benchmark_family,framework,dataset_size,workload,status,n_runs
real_baseline,pandas,10M,filter,ok,3
real_baseline,pandas,10M,groupby,ok,3
real_baseline,pandas,10M,join,ok,3
real_baseline,pandas,10M,pipeline,ok,3
real_baseline,polars_eager,10M,filter,ok,3
real_baseline,polars_eager,10M,groupby,ok,3
real_baseline,polars_eager,10M,join,ok,3
real_baseline,polars_eager,10M,pipeline,ok,3
real_baseline,polars_lazy,10M,filter,ok,3
real_baseline,polars_lazy,10M,groupby,ok,3
real_baseline,polars_lazy,10M,join,ok,3
real_baseline,polars_lazy,10M,pipeline,ok,3
real_baseline,dask,10M,filter,ok,3
real_baseline,dask,10M,groupby,ok,3
real_baseline,dask,10M,join,ok,3
real_baseline,dask,10M,pipeline,ok,3
real_baseline,pandas,1M,filter,ok,3
real_baseline,pandas,1M,groupby,ok,3
real_baseline,pandas,1M,join,ok,3
real_baseline,pandas,1M,pipeline,ok,3
real_baseline,polars_eager,1M,filter,ok,3
real_baseline,polars_eager,1M,groupby,ok,3
real_baseline,polars_eager,1M,join,ok,3
real_baseline,polars_eager,1M,pipeline,ok,3
real_baseline,polars_lazy,1M,filter,ok,3
real_baseline,polars_lazy,1M,groupby,ok,3
real_baseline,polars_lazy,1M,join,ok,3
real_baseline,polars_lazy,1M,pipeline,ok,3
real_baseline,dask,1M,filter,ok,3
real_baseline,dask,1M,groupby,ok,3
real_baseline,dask,1M,join,ok,3
real_baseline,dask,1M,pipeline,ok,3
real_baseline,pandas,50M,filter,ok,3
real_baseline,pandas,50M,groupby,ok,3
real_baseline,pandas,50M,join,ok,3
real_baseline,pandas,50M,pipeline,ok,3
real_baseline,polars_eager,50M,filter,ok,3
real_baseline,polars_eager,50M,groupby,ok,3
real_baseline,polars_eager,50M,join,ok,3
real_baseline,polars_eager,50M,pipeline,ok,3
real_baseline,polars_lazy,50M,filter,ok,3
real_baseline,polars_lazy,50M,groupby,ok,3
real_baseline,polars_lazy,50M,join,ok,3
real_baseline,polars_lazy,50M,pipeline,ok,3
real_baseline,dask,50M,filter,ok,3
real_baseline,dask,50M,groupby,ok,3
real_baseline,dask,50M,join,ok,3
real_baseline,dask,50M,pipeline,ok,3
synthetic_stress,polars_lazy,100M,filter,ok,3
synthetic_stress,polars_lazy,100M,groupby,ok,3
synthetic_stress,dask,100M,filter,ok,3
synthetic_stress,dask,100M,groupby,ok,3
synthetic_stress,pandas,10M_highuid,filter,ok,3
synthetic_stress,pandas,10M_highuid,groupby,ok,3
synthetic_stress,pandas,10M_highuid,join,ok,3
synthetic_stress,pandas,10M_highuid,pipeline,ok,3
synthetic_stress,polars_eager,10M_highuid,filter,ok,3
synthetic_stress,polars_eager,10M_highuid,groupby,ok,3
synthetic_stress,polars_eager,10M_highuid,join,ok,3
synthetic_stress,polars_eager,10M_highuid,pipeline,ok,3
synthetic_stress,polars_lazy,10M_highuid,filter,ok,3
synthetic_stress,polars_lazy,10M_highuid,groupby,ok,3
synthetic_stress,polars_lazy,10M_highuid,join,ok,3
synthetic_stress,polars_lazy,10M_highuid,pipeline,ok,3
synthetic_stress,dask,10M_highuid,filter,ok,3
synthetic_stress,dask,10M_highuid,groupby,ok,3
synthetic_stress,dask,10M_highuid,join,ok,3
synthetic_stress,dask,10M_highuid,pipeline,ok,3
synthetic_stress,pandas,10M_skewed,filter,ok,3
synthetic_stress,pandas,10M_skewed,groupby,ok,3
synthetic_stress,pandas,10M_skewed,join,ok,3
synthetic_stress,pandas,10M_skewed,pipeline,ok,3
synthetic_stress,polars_eager,10M_skewed,filter,ok,3
synthetic_stress,polars_eager,10M_skewed,groupby,ok,3
synthetic_stress,polars_eager,10M_skewed,join,ok,3
synthetic_stress,polars_eager,10M_skewed,pipeline,ok,3
synthetic_stress,polars_lazy,10M_skewed,filter,ok,3
synthetic_stress,polars_lazy,10M_skewed,groupby,ok,3
synthetic_stress,polars_lazy,10M_skewed,join,ok,3
synthetic_stress,polars_lazy,10M_skewed,pipeline,ok,3
synthetic_stress,dask,10M_skewed,filter,ok,3
synthetic_stress,dask,10M_skewed,groupby,ok,3
synthetic_stress,dask,10M_skewed,join,ok,3
synthetic_stress,dask,10M_skewed,pipeline,ok,3
